index,#,Name,Posición,Nac.,Edad,Club,Valor más alto de carrera,Última revisión,Valor de mercado,Diferencial valor de Mercado
0,1,Maximiliano Meza,Medio centro ofensivo,Argentina,26,CF Monterrey,14000000.0,08/02/2019,14000000.0,1.0
1,2,Rodolfo Pizarro,Medio centro ofensivo,México,25,CF Monterrey,10000000.0,08/02/2019,10000000.0,1.0
2,3,Carlos Salcedo,Defensa central,México,25,Tigres UANL,10000000.0,08/02/2019,10000000.0,1.0
3,4,Guido Rodríguez,Pivote,Argentina,25,CF América,10000000.0,08/02/2019,10000000.0,1.0
4,5,Vincent Janssen,Delantero centro,Países Bajos,25,CF Monterrey,14000000.0,13/06/2019,8000000.0,0.5714285714285714
5,6,Guido Pizarro,Pivote,Argentina,29,Tigres UANL,15000000.0,08/02/2019,7500000.0,0.5
6,7,Orbelín Pineda,Mediocentro,México,23,CD Cruz Azul,7500000.0,08/02/2019,7500000.0,1.0
7,8,Víctor Guzmán,Medio centro ofensivo,México,24,CF Pachuca,7500000.0,08/02/2019,7500000.0,1.0
8,9,Mateus Uribe,Mediocentro,Colombia,28,CF América,7500000.0,08/02/2019,7500000.0,1.0
9,10,Jonathan González,Pivote,México,20,CF Monterrey,6500000.0,08/02/2019,6500000.0,1.0
10,11,Guillermo Fernández,Medio centro ofensivo,Argentina,27,CD Cruz Azul,6000000.0,18/12/2018,6000000.0,1.0
11,12,Nicolás Castillo,Delantero centro,Chile,26,CF América,6000000.0,11/01/2019,6000000.0,1.0
12,13,Rogelio Funes Mori,Mori Delantero centro,Argentina,28,CF Monterrey,6000000.0,08/02/2019,6000000.0,1.0
13,14,Roberto Alvarado,Medio centro ofensivo,México,20,CD Cruz Azul,5000000.0,08/02/2019,5000000.0,1.0
14,15,Víctor Dávila,Delantero centro,Chile,21,CF Pachuca,5000000.0,08/02/2019,5000000.0,1.0
15,16,Roger Martínez,Delantero centro,Colombia,25,CF América,5000000.0,08/02/2019,5000000.0,1.0
16,17,Jesús Gallardo,Extremo izquierdo,México,24,CF Monterrey,5000000.0,08/02/2019,5000000.0,1.0
17,18,César Montes,Defensa central,México,22,CF Monterrey,5000000.0,08/02/2019,5000000.0,1.0
18,19,Javier Aquino,Extremo izquierdo,México,29,Tigres UANL,5000000.0,08/02/2019,5000000.0,1.0
19,20,Julio Furch,Delantero centro,Argentina,29,Santos Laguna,5000000.0,08/02/2019,5000000.0,1.0
20,21,Bruno Valdez,Defensa central,Paraguay,26,CF América,5000000.0,08/02/2019,5000000.0,1.0
21,22,Rafael Carioca,Pivote,Brasil,30,Tigres UANL,6000000.0,08/02/2019,4500000.0,0.75
22,23,Agustín Marchesín,Portero,Argentina,31,CF América,4500000.0,08/02/2019,4500000.0,1.0
23,24,Eduardo Vargas,Delantero centro,Chile,29,Tigres UANL,11000000.0,08/02/2019,4500000.0,0.4090909090909091
24,25,Enner Valencia,Delantero centro,Ecuador,29,Tigres UANL,11000000.0,08/02/2019,4500000.0,0.4090909090909091
0,1,Maximiliano Meza,Medio centro ofensivo,Argentina,26,CF Monterrey,14000000.0,08/02/2019,14000000.0,1.0
1,2,Rodolfo Pizarro,Medio centro ofensivo,México,25,CF Monterrey,10000000.0,08/02/2019,10000000.0,1.0
2,3,Carlos Salcedo,Defensa central,México,25,Tigres UANL,10000000.0,08/02/2019,10000000.0,1.0
3,4,Guido Rodríguez,Pivote,Argentina,25,CF América,10000000.0,08/02/2019,10000000.0,1.0
4,5,Vincent Janssen,Delantero centro,Países Bajos,25,CF Monterrey,14000000.0,13/06/2019,8000000.0,0.5714285714285714
5,6,Guido Pizarro,Pivote,Argentina,29,Tigres UANL,15000000.0,08/02/2019,7500000.0,0.5
6,7,Orbelín Pineda,Mediocentro,México,23,CD Cruz Azul,7500000.0,08/02/2019,7500000.0,1.0
7,8,Víctor Guzmán,Medio centro ofensivo,México,24,CF Pachuca,7500000.0,08/02/2019,7500000.0,1.0
8,9,Mateus Uribe,Mediocentro,Colombia,28,CF América,7500000.0,08/02/2019,7500000.0,1.0
9,10,Jonathan González,Pivote,México,20,CF Monterrey,6500000.0,08/02/2019,6500000.0,1.0
10,11,Guillermo Fernández,Medio centro ofensivo,Argentina,27,CD Cruz Azul,6000000.0,18/12/2018,6000000.0,1.0
11,12,Nicolás Castillo,Delantero centro,Chile,26,CF América,6000000.0,11/01/2019,6000000.0,1.0
12,13,Rogelio Funes Mori,Mori Delantero centro,Argentina,28,CF Monterrey,6000000.0,08/02/2019,6000000.0,1.0
13,14,Roberto Alvarado,Medio centro ofensivo,México,20,CD Cruz Azul,5000000.0,08/02/2019,5000000.0,1.0
14,15,Víctor Dávila,Delantero centro,Chile,21,CF Pachuca,5000000.0,08/02/2019,5000000.0,1.0
15,16,Roger Martínez,Delantero centro,Colombia,25,CF América,5000000.0,08/02/2019,5000000.0,1.0
16,17,Jesús Gallardo,Extremo izquierdo,México,24,CF Monterrey,5000000.0,08/02/2019,5000000.0,1.0
17,18,César Montes,Defensa central,México,22,CF Monterrey,5000000.0,08/02/2019,5000000.0,1.0
18,19,Javier Aquino,Extremo izquierdo,México,29,Tigres UANL,5000000.0,08/02/2019,5000000.0,1.0
19,20,Julio Furch,Delantero centro,Argentina,29,Santos Laguna,5000000.0,08/02/2019,5000000.0,1.0
20,21,Bruno Valdez,Defensa central,Paraguay,26,CF América,5000000.0,08/02/2019,5000000.0,1.0
21,22,Rafael Carioca,Pivote,Brasil,30,Tigres UANL,6000000.0,08/02/2019,4500000.0,0.75
22,23,Agustín Marchesín,Portero,Argentina,31,CF América,4500000.0,08/02/2019,4500000.0,1.0
23,24,Eduardo Vargas,Delantero centro,Chile,29,Tigres UANL,11000000.0,08/02/2019,4500000.0,0.4090909090909091
24,25,Enner Valencia,Delantero centro,Ecuador,29,Tigres UANL,11000000.0,08/02/2019,4500000.0,0.4090909090909091
0,26,Diego Valdés,Medio centro ofensivo,Chile,25,Santos Laguna,4500000.0,08/02/2019,4500000.0,1.0
1,27,Nicolás Benedetti,Medio centro ofensivo,Colombia,22,CF América,4000000.0,08/02/2019,4000000.0,1.0
2,28,Emanuel Gigliotti,Delantero centro,Argentina,32,Deportivo Toluca,4200000.0,08/02/2019,4000000.0,0.9523809523809523
3,29,Alexis Vega,Delantero centro,México,21,Deportivo Guadalajara,4000000.0,08/02/2019,4000000.0,1.0
4,30,Marcel Ruiz,Medio centro ofensivo,México,18,Querétaro FC,4000000.0,08/02/2019,4000000.0,1.0
