index,age,birth_country_code,birth_country_name,birth_date,birth_day,contract_expires,current_team_color,current_team_logo,current_team_name,domestic_competition_name,foot,full_name,goals,goals_tagged,height,id,image,market_value,minutes_on_field,name,on_loan,passport_country_codes,passport_country_names,positions,primary_position,primary_position_percent,secondary_position,secondary_position_percent,third_position,third_position_percent,total_matches,weight,xg_shot
0,19,MEX,Mexico,2000-06-09,2000-06-09,2024-06-30,14ad58,https://cdn5.wyscout.com/photos/team/public/45_120x120.png,Real Betis,Primera División,left,Diego Lainez Leyva,5,5,167,476557,https://cdn5.wyscout.com/photos/players/public/g476557_100x130.png,14000000,972,D. Lainez,False,['MEX'],['Mexico'],"['LW', 'RW', 'AMF']",LW,35,RW,31,AMF,16,15,58,1.37
1,26,ARG,Argentina,1992-12-15,1992-12-15,2020-06-30,000000,https://cdn5.wyscout.com/photos/team/public/591_120x120.png,Monterrey,Liga MX,right,Maximiliano Eduardo Meza,2,2,180,234890,https://cdn5.wyscout.com/photos/players/public/g234890_100x130.png,14000000,1267,M. Meza,False,['ARG'],['Argentina'],['AMF'],AMF,39,,0,,0,20,77,1.57
2,25,MEX,Mexico,1993-09-29,1993-09-29,2022-06-30,000000,https://cdn5.wyscout.com/photos/team/public/925_120x120.png,Tigres UANL,Liga MX,right,Carlos Joel Salcedo Hernández,1,1,188,286705,https://cdn5.wyscout.com/photos/players/public/g286705_100x130.png,10000000,1405,C. Salcedo,False,['MEX'],['Mexico'],"['LCB', 'CB']",LCB,73,CB,13,,0,16,77,0.49
3,25,MEX,Mexico,1994-02-15,1994-02-15,2023-06-30,000000,https://cdn5.wyscout.com/photos/team/public/591_120x120.png,Monterrey,Liga MX,right,Rodolfo Gilbert Pizarro Thomas,6,6,173,253936,https://cdn5.wyscout.com/photos/players/public/g253936_100x130.png,10000000,2454,R. Pizarro,False,['MEX'],['Mexico'],"['AMF', 'LW']",AMF,50,LW,11,,0,30,64,4.8
4,25,ARG,Argentina,1994-04-12,1994-04-12,,000000,https://cdn5.wyscout.com/photos/team/public/462_120x120.png,América,Liga MX,right,Guido Rodríguez,8,8,185,365587,https://cdn5.wyscout.com/photos/players/public/g365587_100x130.png,10000000,4217,G. Rodríguez,False,['ARG'],['Argentina'],"['LCMF', 'LDMF', 'DMF']",LCMF,40,LDMF,23,DMF,18,44,80,3.4
5,28,COL,Colombia,1991-03-21,1991-03-21,2020-06-30,000000,https://cdn5.wyscout.com/photos/team/public/462_120x120.png,América,Liga MX,right,Andrés Mateus Uribe Villa,4,4,182,227289,https://cdn5.wyscout.com/photos/players/public/81703_100x130.png,7500000,2822,A. Uribe,False,['COL'],['Colombia'],"['RCMF', 'RDMF', 'LCMF']",RCMF,29,RDMF,24,LCMF,15,34,71,6.36
6,24,MEX,Mexico,1995-02-03,1995-02-03,2021-12-31,0000ff,https://cdn5.wyscout.com/photos/team/public/463_120x120.png,Pachuca,Liga MX,right,Víctor Alfonso Guzmán Guzmán,13,13,175,393431,https://cdn5.wyscout.com/photos/players/public/g393431_100x130.png,7500000,3060,V. Guzmán,False,['MEX'],['Mexico'],"['RCMF3', 'RCMF']",RCMF3,50,RCMF,14,,0,35,78,10.18
7,29,ARG,Argentina,1990-02-26,1990-02-26,2021-06-30,000000,https://cdn5.wyscout.com/photos/team/public/925_120x120.png,Tigres UANL,Liga MX,right,Guido Hernán Pizarro,2,2,186,103881,https://cdn5.wyscout.com/photos/players/public/33696_100x130.png,7500000,3479,G. Pizarro,False,"['ARG', 'MEX']","['Argentina', 'Mexico']","['LDMF', 'DMF', 'LCMF']",LDMF,22,DMF,20,LCMF,19,38,79,1.42
8,21,MEX,Mexico,1997-10-24,1997-10-24,2024-06-30,000000,https://cdn5.wyscout.com/photos/team/public/462_120x120.png,América,Liga MX,right,Edson Omar Álvarez Velázquez,3,3,185,454119,https://cdn5.wyscout.com/photos/players/public/g454119_100x130.png,7500000,2869,E. Álvarez,False,['MEX'],['Mexico'],"['RCB', 'RCMF', 'RDMF']",RCB,42,RCMF,21,RDMF,10,33,73,1.71
9,23,MEX,Mexico,1996-03-24,1996-03-24,,0000ff,https://cdn5.wyscout.com/photos/team/public/590_120x120.png,Cruz Azul,Liga MX,right,Orbelín Pineda Alvarado,3,3,169,289460,https://cdn5.wyscout.com/photos/players/public/g289460_100x130.png,7500000,2385,O. Pineda,False,['MEX'],['Mexico'],"['LWF', 'RCMF', 'RDMF']",LWF,17,RCMF,16,RDMF,12,30,64,2.12
10,20,USA,USA,1999-04-13,1999-04-13,,000000,https://cdn5.wyscout.com/photos/team/public/591_120x120.png,Monterrey,Liga MX,right,Jonathan Alexander González Mendoza,1,1,175,474558,https://cdn5.wyscout.com/photos/players/public/g474558_100x130.png,6500000,1636,J. Gónzalez,False,"['USA', 'MEX']","['USA', 'Mexico']","['RCMF', 'RDMF', 'LCMF']",RCMF,21,RDMF,21,LCMF,17,23,66,1.03
11,24,MEX,Mexico,1995-06-15,1995-06-15,2023-06-30,FF0000,https://cdn5.wyscout.com/photos/team/public/140_120x120.png,PSV,Eredivisie,left,Érick Gabriel Gutiérrez Galaviz,2,2,181,315849,https://cdn5.wyscout.com/photos/players/public/g315849_100x130.png,6500000,470,É. Gutiérrez,False,['MEX'],['Mexico'],"['LCMF3', 'LCMF']",LCMF3,72,LCMF,17,,0,5,74,0.64
12,28,ARG,Argentina,1991-03-05,1991-03-05,,000000,https://cdn5.wyscout.com/photos/team/public/591_120x120.png,Monterrey,Liga MX,right,Rogelio Gabriel Funes Mori,17,17,190,110288,https://cdn5.wyscout.com/photos/players/public/45978_100x130.png,6000000,2314,R. Funes Mori,False,['ARG'],['Argentina'],['CF'],CF,100,,0,,0,32,81,11.83
13,26,CHL,Chile,1993-02-14,1993-02-14,2023-06-30,000000,https://cdn5.wyscout.com/photos/team/public/462_120x120.png,América,Liga MX,right,Nicolás Ignacio Castillo Mora,7,7,179,176830,https://cdn5.wyscout.com/photos/players/public/68303_100x130.png,6000000,1236,N. Castillo,False,['CHL'],['Chile'],['CF'],CF,100,,0,,0,15,74,5.37
14,24,ARG,Argentina,1994-09-26,1994-09-26,2022-06-30,008000,https://cdn5.wyscout.com/photos/team/public/3466_120x120.png,Portland Timbers,MLS,right,Brian Leonel Fernández,15,15,172,245199,https://cdn5.wyscout.com/photos/players/public/g245199_100x130.png,6000000,2294,B. Fernández,False,['ARG'],['Argentina'],"['CF', 'RW']",CF,35,RW,34,,0,29,74,10.23
15,27,ARG,Argentina,1991-10-11,1991-10-11,2022-06-30,0000ff,https://cdn5.wyscout.com/photos/team/public/590_120x120.png,Cruz Azul,Liga MX,right,Guillermo Matías Fernández,0,0,176,232122,https://cdn5.wyscout.com/photos/players/public/80015_100x130.png,6000000,9,G. Fernández,False,['ARG'],['Argentina'],['RCMF'],RCMF,100,,0,,0,1,74,0.0
16,22,MEX,Mexico,1997-02-24,1997-02-24,2020-06-30,000000,https://cdn5.wyscout.com/photos/team/public/591_120x120.png,Monterrey,Liga MX,right,César Jasib Montes Castro,2,2,191,411239,https://cdn5.wyscout.com/photos/players/public/g411239_100x130.png,5000000,1724,C. Montes,False,['MEX'],['Mexico'],"['RCB', 'RCB3', 'LCB3']",RCB,60,RCB3,28,LCB3,11,25,70,1.06
17,24,MEX,Mexico,1994-08-15,1994-08-15,2023-06-30,000000,https://cdn5.wyscout.com/photos/team/public/591_120x120.png,Monterrey,Liga MX,left,Jesús Daniel Gallardo Vasconcelos,3,3,176,352919,https://cdn5.wyscout.com/photos/players/public/g352919_100x130.png,5000000,2928,J. Gallardo,False,['MEX'],['Mexico'],"['LB', 'LW', 'LAMF']",LB,34,LW,26,LAMF,15,42,76,3.74
18,29,MEX,Mexico,1990-02-11,1990-02-11,,000000,https://cdn5.wyscout.com/photos/team/public/925_120x120.png,Tigres UANL,Liga MX,right,Javier Ignacio Aquino Carmona,6,6,168,43657,https://cdn5.wyscout.com/photos/players/public/55745_100x130.png,5000000,2409,J. Aquino,False,['MEX'],['Mexico'],"['LAMF', 'LW']",LAMF,44,LW,32,,0,31,59,4.37
19,26,PRY,Paraguay,1992-10-06,1992-10-06,2020-06-30,000000,https://cdn5.wyscout.com/photos/team/public/462_120x120.png,América,Liga MX,right,Bruno Amílcar Valdez,10,10,183,198877,https://cdn5.wyscout.com/photos/players/public/g198877_100x130.png,5000000,3473,B. Valdez,False,['PRY'],['Paraguay'],"['RCB', 'LCB', 'CB']",RCB,65,LCB,16,CB,11,39,79,6.22
