Licenciatura,1ero,Promedio,2do,3ero
Administración de Empresas,8.75,6.583333333333333,6.511363636363637,7.422727272727273
Administración de Empresas,8.35,9.116666666666667,6.511363636363637,7.422727272727273
Administración de Empresas,8.26,6.753333333333333,6.511363636363637,7.422727272727273
Administración de Empresas,9.28,9.426666666666668,6.511363636363637,7.422727272727273
Administración de Empresas,8.52,5.84,6.511363636363637,7.422727272727273
Administración de Empresas,9.2,9.4,6.511363636363637,7.422727272727273
Administración de Empresas,8.65,7.583333333333333,6.511363636363637,7.422727272727273
Administración de Empresas,9.52,8.506666666666666,6.511363636363637,7.422727272727273
Administración de Empresas,8.83,9.276666666666666,6.511363636363637,7.422727272727273
Administración de Empresas,8.78,8.926666666666668,6.511363636363637,7.422727272727273
Administración de Empresas,3.325,1.1083333333333334,6.511363636363637,7.422727272727273
Administración de Empresas,9.65,9.549999999999999,6.511363636363637,7.422727272727273
Administración de Empresas,8.29,9.096666666666666,6.511363636363637,7.422727272727273
Administración de Empresas,9.57,9.523333333333333,6.511363636363637,7.422727272727273
Administración de Empresas,8.87,9.29,6.511363636363637,7.422727272727273
Administración de Empresas,9.26,9.753333333333332,6.511363636363637,7.422727272727273
Administración de Empresas,8.93,8.976666666666667,6.511363636363637,7.422727272727273
Administración de Empresas,3.5,1.1666666666666667,6.511363636363637,7.422727272727273
Administración de Empresas,8.93,6.776666666666666,6.511363636363637,7.422727272727273
Administración de Empresas,7.73,7.9433333333333325,6.511363636363637,7.422727272727273
Administración de Empresas,0.0,0.0,6.511363636363637,7.422727272727273
Administración de Empresas,7.85,8.950000000000001,6.511363636363637,7.422727272727273
Administración de Empresas,0.0,0.0,6.511363636363637,7.422727272727273
Administración de Empresas,9.12,9.373333333333333,6.511363636363637,7.422727272727273
Administración de Empresas,9.45,8.816666666666666,6.511363636363637,7.422727272727273
Administración de Empresas,8.44,9.146666666666667,6.511363636363637,7.422727272727273
Administración de Empresas,8.96,9.32,6.511363636363637,7.422727272727273
Administración de Empresas,9.63,3.2100000000000004,6.511363636363637,7.422727272727273
Administración de Empresas,0.0,0.0,6.511363636363637,7.422727272727273
Administración de Empresas,9.3,9.1,6.511363636363637,7.422727272727273
Administración de Empresas,8.14,9.046666666666667,6.511363636363637,7.422727272727273
Administración de Empresas,4.94,4.3133333333333335,6.511363636363637,7.422727272727273
Administración de Empresas,0.0,0.0,6.511363636363637,7.422727272727273
Administración de Empresas,9.23,9.41,6.511363636363637,7.422727272727273
Administración de Empresas,9.75,9.916666666666666,6.511363636363637,7.422727272727273
Administración de Empresas,10.0,9.666666666666666,6.511363636363637,7.422727272727273
Administración de Empresas,0.0,0.0,6.511363636363637,7.422727272727273
Administración de Empresas,7.76,7.62,6.511363636363637,7.422727272727273
Administración de Empresas,9.75,9.25,6.511363636363637,7.422727272727273
Administración de Empresas,7.76,5.919999999999999,6.511363636363637,7.422727272727273
Administración de Empresas,9.68,9.56,6.511363636363637,7.422727272727273
Administración de Empresas,9.28,3.0933333333333333,6.511363636363637,7.422727272727273
Administración de Empresas,1.0,0.3333333333333333,6.511363636363637,7.422727272727273
Administración de Empresas,10.0,9.666666666666666,6.511363636363637,7.422727272727273
Administración de Empresas,8.93,8.976666666666667,6.511363636363637,7.422727272727273
Administración de Empresas,8.33,5.776666666666666,6.511363636363637,7.422727272727273
Administración de Empresas,8.1,8.366666666666667,6.511363636363637,7.422727272727273
Administración de Empresas,7.9,8.633333333333333,6.511363636363637,7.422727272727273
Administración de Empresas,9.3,8.766666666666667,6.511363636363637,7.422727272727273
Administración de Empresas,9.56,8.520000000000001,6.511363636363637,7.422727272727273
Administración de Empresas,8.46,8.82,6.511363636363637,7.422727272727273
Administración de Empresas,8.36,8.786666666666667,6.511363636363637,7.422727272727273
Administración de Empresas,8.13,8.71,6.511363636363637,7.422727272727273
Administración de Empresas,8.93,9.31,6.511363636363637,7.422727272727273
Administración de Empresas,0.0,0.0,6.511363636363637,7.422727272727273
Administración de Empresas,9.2,9.066666666666666,6.511363636363637,7.422727272727273
Administración de Empresas,8.16,6.72,6.511363636363637,7.422727272727273
Administración de Empresas,8.2,8.733333333333333,6.511363636363637,7.422727272727273
Administración de Empresas,7.5,8.5,6.511363636363637,7.422727272727273
Administración de Empresas,7.2,5.733333333333333,6.511363636363637,7.422727272727273
Administración de Empresas,9.36,9.12,6.511363636363637,7.422727272727273
Administración de Empresas,9.0,9.0,6.511363636363637,7.422727272727273
Administración de Empresas,8.0,8.666666666666666,6.511363636363637,7.422727272727273
Administración de Empresas,0.0,0.0,6.511363636363637,7.422727272727273
