<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.01.02	08:00:00	1.05200	1.05232	1.05195	1.05227	245	293000000	28
2017.01.02	08:15:00	1.05227	1.05227	1.05197	1.05202	173	178000000	51
2017.01.02	08:30:00	1.05202	1.05242	1.05181	1.05193	3460	4315000000	25
2017.01.02	08:45:00	1.05193	1.05194	1.05128	1.05156	763	1078000000	25
2017.01.02	09:00:00	1.05156	1.05189	1.05152	1.05162	2710	3107000000	28
2017.01.02	09:15:00	1.05162	1.05163	1.05103	1.05120	1484	1839000000	31
2017.01.02	09:30:00	1.05120	1.05162	1.05107	1.05125	3134	4022000000	30
2017.01.02	09:45:00	1.05127	1.05128	1.04877	1.04898	1712	2337000000	28
2017.01.02	10:00:00	1.04898	1.04932	1.04773	1.04803	3102	3826000000	26
2017.01.02	10:15:00	1.04803	1.04840	1.04800	1.04821	4042	5084000000	26
2017.01.02	10:30:00	1.04822	1.04899	1.04818	1.04884	2662	5911000000	24
2017.01.02	10:45:00	1.04884	1.04890	1.04864	1.04873	1691	3836000000	24
2017.01.02	11:00:00	1.04873	1.04897	1.04854	1.04889	1866	2451000000	24
2017.01.02	11:15:00	1.04893	1.04894	1.04804	1.04811	2543	3595000000	19
2017.01.02	11:30:00	1.04811	1.04844	1.04805	1.04825	4025	5169000000	24
2017.01.02	11:45:00	1.04825	1.04845	1.04784	1.04810	2431	2957000000	21
2017.01.02	12:00:00	1.04810	1.04816	1.04801	1.04809	2148	2849000000	20
2017.01.02	12:15:00	1.04809	1.04811	1.04787	1.04807	1640	2105000000	25
2017.01.02	12:30:00	1.04807	1.04810	1.04783	1.04798	797	1157000000	21
2017.01.02	12:45:00	1.04798	1.04822	1.04768	1.04786	1141	1675000000	22
2017.01.02	13:00:00	1.04786	1.04787	1.04726	1.04732	2162	2566000000	20
2017.01.02	13:15:00	1.04731	1.04754	1.04701	1.04728	1121	1411000000	23
2017.01.02	13:30:00	1.04728	1.04751	1.04705	1.04725	1338	1561000000	29
2017.01.02	13:45:00	1.04725	1.04734	1.04652	1.04659	2575	3611000000	24
2017.01.02	14:00:00	1.04658	1.04674	1.04617	1.04654	2831	3624000000	20
2017.01.02	14:15:00	1.04653	1.04691	1.04653	1.04660	1840	2261000000	29
2017.01.02	14:30:00	1.04660	1.04679	1.04648	1.04669	3015	3664000000	21
2017.01.02	14:45:00	1.04669	1.04686	1.04657	1.04663	1573	2002000000	23
2017.01.02	15:00:00	1.04662	1.04681	1.04646	1.04676	2120	3045000000	24
2017.01.02	15:15:00	1.04677	1.04701	1.04657	1.04697	1935	2784000000	23
2017.01.02	15:30:00	1.04697	1.04748	1.04692	1.04742	1991	2554000000	24
2017.01.02	15:45:00	1.04742	1.04761	1.04706	1.04730	2736	3033000000	20
2017.01.02	16:00:00	1.04730	1.04737	1.04655	1.04674	3538	3869000000	30
2017.01.02	16:15:00	1.04672	1.04696	1.04646	1.04682	4130	5095000000	30
2017.01.02	16:30:00	1.04682	1.04696	1.04641	1.04685	4308	5327500000	30
2017.01.02	16:45:00	1.04689	1.04741	1.04679	1.04708	1169	1445000000	31
2017.01.02	17:00:00	1.04709	1.04782	1.04686	1.04721	862	2919000000	38
2017.01.02	17:15:00	1.04721	1.04728	1.04701	1.04716	699	2777000000	28
2017.01.02	17:30:00	1.04716	1.04719	1.04695	1.04719	602	1172000000	36
2017.01.02	17:45:00	1.04719	1.04719	1.04684	1.04695	617	881000000	28
2017.01.02	18:00:00	1.04695	1.04695	1.04673	1.04683	468	490500000	21
2017.01.02	18:15:00	1.04683	1.04691	1.04646	1.04662	242	299000000	27
2017.01.02	18:30:00	1.04662	1.04691	1.04662	1.04667	243	300500000	26
2017.01.02	18:45:00	1.04667	1.04680	1.04619	1.04663	1103	1274000000	27
2017.01.02	19:00:00	1.04662	1.04673	1.04638	1.04640	1289	1373000000	28
2017.01.02	19:15:00	1.04641	1.04644	1.04623	1.04623	667	729000000	29
2017.01.02	19:30:00	1.04623	1.04629	1.04610	1.04618	3064	5161000000	27
2017.01.02	19:45:00	1.04618	1.04627	1.04610	1.04615	3534	5039000000	27
2017.01.02	20:00:00	1.04615	1.04650	1.04608	1.04630	2738	3008500000	37
2017.01.02	20:15:00	1.04630	1.04630	1.04621	1.04626	399	420000000	31
2017.01.02	20:30:00	1.04626	1.04626	1.04611	1.04617	161	175000000	38
2017.01.02	20:45:00	1.04617	1.04632	1.04599	1.04604	553	561000000	34
2017.01.02	21:00:00	1.04603	1.04607	1.04572	1.04585	1294	1335000000	28
2017.01.02	21:15:00	1.04585	1.04596	1.04573	1.04581	3149	3271000000	28
2017.01.02	21:30:00	1.04581	1.04597	1.04581	1.04596	221	236000000	36
2017.01.02	21:45:00	1.04592	1.04612	1.04587	1.04604	566	1198000000	40
2017.01.02	22:00:00	1.04605	1.04605	1.04503	1.04526	2792	3155200000	28
2017.01.02	22:15:00	1.04526	1.04533	1.04514	1.04518	1934	2410000000	27
2017.01.02	22:30:00	1.04518	1.04558	1.04516	1.04546	353	397000000	39
2017.01.02	22:45:00	1.04546	1.04556	1.04533	1.04548	3938	4647600000	31
2017.01.02	23:00:00	1.04583	1.04637	1.04548	1.04618	309	323000000	53
2017.01.02	23:15:00	1.04618	1.04719	1.04618	1.04682	554	637000000	45
2017.01.02	23:30:00	1.04682	1.04698	1.04641	1.04674	408	441000000	50
2017.01.02	23:45:00	1.04676	1.04696	1.04605	1.04631	746	993000000	49
2017.01.03	00:00:00	1.04638	1.04714	1.04563	1.04569	3571	3220500000	28
2017.01.03	00:15:00	1.04569	1.04641	1.04564	1.04633	2287	2787500000	23
2017.01.03	00:30:00	1.04633	1.04636	1.04570	1.04586	3789	6901000000	23
2017.01.03	00:45:00	1.04586	1.04589	1.04570	1.04577	2780	3997000000	20
2017.01.03	01:00:00	1.04577	1.04674	1.04572	1.04664	2812	4277000000	20
2017.01.03	01:15:00	1.04664	1.04689	1.04653	1.04672	2244	4640000000	20
2017.01.03	01:30:00	1.04672	1.04698	1.04666	1.04666	1771	5075500000	21
2017.01.03	01:45:00	1.04666	1.04712	1.04646	1.04664	2128	4220500000	20
2017.01.03	02:00:00	1.04663	1.04761	1.04647	1.04751	3023	6698000000	19
2017.01.03	02:15:00	1.04752	1.04783	1.04724	1.04765	2655	5910500000	19
2017.01.03	02:30:00	1.04765	1.04809	1.04765	1.04796	2058	5256000000	20
2017.01.03	02:45:00	1.04797	1.04801	1.04750	1.04758	2931	8116500000	19
2017.01.03	03:00:00	1.04758	1.04784	1.04734	1.04761	2530	5249500000	20
2017.01.03	03:15:00	1.04761	1.04764	1.04744	1.04756	2444	6701000000	20
2017.01.03	03:30:00	1.04756	1.04768	1.04743	1.04757	1949	4188500000	21
2017.01.03	03:45:00	1.04756	1.04762	1.04709	1.04721	2529	7412500000	19
2017.01.03	04:00:00	1.04721	1.04784	1.04713	1.04771	1971	7252500000	19
2017.01.03	04:15:00	1.04772	1.04801	1.04762	1.04792	2314	10919500000	19
2017.01.03	04:30:00	1.04792	1.04818	1.04787	1.04811	2143	5175500000	19
2017.01.03	04:45:00	1.04811	1.04849	1.04796	1.04848	2100	18556000000	20
2017.01.03	05:00:00	1.04848	1.04860	1.04818	1.04845	2072	6920000000	20
2017.01.03	05:15:00	1.04845	1.04850	1.04833	1.04834	1122	3180000000	21
2017.01.03	05:30:00	1.04834	1.04865	1.04825	1.04865	2011	5728500000	20
2017.01.03	05:45:00	1.04865	1.04899	1.04860	1.04883	2081	6296000000	20
2017.01.03	06:00:00	1.04883	1.04903	1.04857	1.04862	1942	5464000000	20
2017.01.03	06:15:00	1.04862	1.04865	1.04836	1.04857	2135	5628000000	20
2017.01.03	06:30:00	1.04857	1.04858	1.04835	1.04853	2226	7605000000	23
2017.01.03	06:45:00	1.04853	1.04853	1.04815	1.04824	2141	5823500000	20
2017.01.03	07:00:00	1.04824	1.04893	1.04812	1.04847	2108	7309000000	20
2017.01.03	07:15:00	1.04847	1.04880	1.04831	1.04873	2375	5795500000	20
2017.01.03	07:30:00	1.04873	1.04889	1.04842	1.04855	2128	5872500000	21
2017.01.03	07:45:00	1.04855	1.04882	1.04841	1.04882	1929	5256000000	19
2017.01.03	08:00:00	1.04883	1.04889	1.04595	1.04598	3834	11400000000	18
2017.01.03	08:15:00	1.04598	1.04667	1.04583	1.04615	3406	15608500000	18
2017.01.03	08:30:00	1.04615	1.04647	1.04535	1.04557	3480	8288000000	18
2017.01.03	08:45:00	1.04557	1.04625	1.04544	1.04604	3254	24745000000	18
2017.01.03	09:00:00	1.04604	1.04659	1.04567	1.04590	3517	7692000000	18
2017.01.03	09:15:00	1.04591	1.04595	1.04288	1.04326	4166	9059500000	18
2017.01.03	09:30:00	1.04324	1.04354	1.04206	1.04348	3950	12900500000	18
2017.01.03	09:45:00	1.04348	1.04441	1.04332	1.04353	3824	10462500000	18
2017.01.03	10:00:00	1.04354	1.04363	1.04249	1.04256	3984	11172000000	18
2017.01.03	10:15:00	1.04256	1.04280	1.04165	1.04200	4073	18181500000	18
2017.01.03	10:30:00	1.04197	1.04229	1.04062	1.04125	4101	16123500000	18
2017.01.03	10:45:00	1.04125	1.04137	1.04002	1.04018	3502	18774000000	18
2017.01.03	11:00:00	1.04018	1.04151	1.03963	1.04144	3810	13008500000	18
2017.01.03	11:15:00	1.04144	1.04167	1.04107	1.04116	3187	8921000000	18
2017.01.03	11:30:00	1.04116	1.04134	1.04002	1.04092	2979	10126000000	19
2017.01.03	11:45:00	1.04096	1.04105	1.03960	1.03964	3527	15223500000	19
2017.01.03	12:00:00	1.03964	1.03997	1.03926	1.03972	3532	11151000000	18
2017.01.03	12:15:00	1.03972	1.03972	1.03819	1.03830	3736	14443500000	18
2017.01.03	12:30:00	1.03830	1.03923	1.03818	1.03845	3435	10947500000	19
2017.01.03	12:45:00	1.03845	1.03944	1.03813	1.03943	3630	15005000000	19
2017.01.03	13:00:00	1.03942	1.03944	1.03825	1.03860	3588	12235000000	18
2017.01.03	13:15:00	1.03860	1.03884	1.03816	1.03825	3293	10246500000	18
2017.01.03	13:30:00	1.03825	1.03865	1.03752	1.03827	3844	21257000000	18
2017.01.03	13:45:00	1.03827	1.03906	1.03809	1.03891	3530	11411500000	18
