Entity,Code,Year,Real GDP per capita (BoE (2017)) (£)
England,,1270,805.9229556
England,,1271,796.2993769
England,,1272,824.8949416
England,,1273,776.853595
England,,1274,772.7535764
England,,1275,881.9085084
England,,1276,774.89751
England,,1277,826.1566972
England,,1278,855.2072716
England,,1279,708.7231647
England,,1280,715.3826071
England,,1281,755.8733591
England,,1282,729.0186336
England,,1283,689.1250461
England,,1284,708.6025469
England,,1285,713.4188863
England,,1286,699.3041661
England,,1287,761.0981989
England,,1288,733.6765323
England,,1289,673.1087084
England,,1290,678.7640879
England,,1291,680.4309374
England,,1292,716.9656065
England,,1293,734.2458802
England,,1294,729.0808993
England,,1295,781.1830415
England,,1296,812.8108275
England,,1297,778.1016978
England,,1298,818.8469425
England,,1299,788.9776991
England,,1300,783.9422916
England,,1301,789.8486559
England,,1302,810.665767
England,,1303,844.6994797
England,,1304,764.4912769
England,,1305,786.0722944
England,,1306,763.7557717
England,,1307,801.0092085
England,,1308,810.8267443
England,,1309,831.2392814
England,,1310,820.5840774
England,,1311,849.8738345
England,,1312,827.7725752
England,,1313,842.8841011
England,,1314,843.5177786
England,,1315,758.286882
England,,1316,725.1425995
England,,1317,768.4855977
England,,1318,859.0086298
England,,1319,873.9476872
England,,1320,856.3075659
England,,1321,733.6116688
England,,1322,782.072298
England,,1323,821.8932436
England,,1324,758.6058854
England,,1325,831.722969
England,,1326,841.796378
England,,1327,826.7555619
England,,1328,767.3575481
England,,1329,806.6316607
England,,1330,785.0393697
England,,1331,747.6802702
England,,1332,786.3875702
England,,1333,809.3382489
England,,1334,782.0766267
England,,1335,748.7916613
England,,1336,783.6648878
England,,1337,867.896439
England,,1338,884.0906526
England,,1339,721.0862017
England,,1340,807.2886243
England,,1341,815.0881389
England,,1342,852.5930767
England,,1343,828.2607747
England,,1344,883.8043625
England,,1345,822.5004716
England,,1346,780.9734739
England,,1347,810.946489
England,,1348,830.9845613
England,,1349,780.6184347
England,,1350,888.9966107
England,,1351,1026.986799
England,,1352,1064.661062
England,,1353,1067.860581
England,,1354,1022.794301
England,,1355,1054.141062
England,,1356,1039.811742
England,,1357,1059.54407
England,,1358,1065.05837
England,,1359,1076.68352
England,,1360,1069.494177
England,,1361,1031.998953
England,,1362,1004.952353
England,,1363,975.7081726
England,,1364,1084.002331
England,,1365,1035.749993
England,,1366,1067.051532
England,,1367,1001.391417
England,,1368,994.5271089
England,,1369,928.6774652
England,,1370,1040.673279
England,,1371,1007.002775
England,,1372,910.8357426
England,,1373,986.2519697
England,,1374,907.0993176
England,,1375,874.8808218
England,,1376,1011.179474
England,,1377,1041.011871
England,,1378,1030.035388
England,,1379,945.763321
England,,1380,988.8269572
England,,1381,1014.76121
England,,1382,1050.085347
England,,1383,1003.99276
England,,1384,1136.198865
England,,1385,1036.033922
England,,1386,1159.084277
England,,1387,1168.573085
England,,1388,1081.32663
England,,1389,1120.077327
England,,1390,1051.001244
England,,1391,1179.089273
England,,1392,1330.165913
England,,1393,1102.323522
England,,1394,1214.000273
England,,1395,1165.236806
England,,1396,1175.594636
England,,1397,1152.910567
England,,1398,1237.629882
England,,1399,1191.501569
England,,1400,1161.55458
England,,1401,1146.904673
England,,1402,1177.806738
England,,1403,1197.345848
England,,1404,1218.1643
England,,1405,1220.550717
England,,1406,1132.32253
England,,1407,1134.182505
England,,1408,1049.681594
England,,1409,1086.655417
England,,1410,1155.078743
England,,1411,1131.667911
England,,1412,1105.930192
England,,1413,1003.022875
England,,1414,1140.293151
England,,1415,1167.157049
England,,1416,1126.000444
England,,1417,1231.460872
England,,1418,1169.024972
England,,1419,1231.74748
England,,1420,1202.193407
England,,1421,1123.141949
England,,1422,1160.493148
England,,1423,1225.26174
England,,1424,1235.522026
England,,1425,1193.475185
England,,1426,1157.970347
England,,1427,1128.247464
England,,1428,1059.723959
England,,1429,1096.732796
England,,1430,1129.064594
England,,1431,1137.072924
England,,1432,1125.253226
England,,1433,1161.064458
England,,1434,1233.016921
England,,1435,1097.809424
England,,1436,1024.91585
England,,1437,985.6059269
England,,1438,1036.858828
England,,1439,1085.173263
England,,1440,1097.652761
England,,1441,972.425524
England,,1442,1008.817599
England,,1443,1223.036272
England,,1444,1223.926428
England,,1445,1057.97702
England,,1446,1127.557655
England,,1447,1157.147267
England,,1448,1198.258836
England,,1449,1101.645348
England,,1450,1137.996215
England,,1451,1139.863684
England,,1452,1124.797823
England,,1453,1133.819674
England,,1454,1133.949862
England,,1455,1124.559969
England,,1456,1136.172866
England,,1457,1038.699254
England,,1458,1099.000501
England,,1459,1081.271755
England,,1460,1080.654348
England,,1461,1084.196575
England,,1462,1184.659615
England,,1463,1198.274497
England,,1464,1092.209504
England,,1465,1059.533911
England,,1466,1050.670272
England,,1467,1082.156516
England,,1468,1128.470161
England,,1469,1112.409096
England,,1470,1079.959606
England,,1471,1031.483312
England,,1472,1064.921071
England,,1473,1055.31685
England,,1474,1110.319219
England,,1475,1076.471673
England,,1476,997.4187071
England,,1477,1042.366539
England,,1478,1070.637235
England,,1479,1130.569038
England,,1480,1161.810551
England,,1481,1108.969676
England,,1482,1059.343548
England,,1483,1109.594356
England,,1484,1097.68485
England,,1485,1036.318487
England,,1486,1147.04082
England,,1487,1047.219734
England,,1488,1067.7447
England,,1489,1090.457432
England,,1490,1095.860961
England,,1491,1103.517713
England,,1492,1115.306386
England,,1493,1095.77327
England,,1494,1146.012227
England,,1495,1122.048623
England,,1496,1085.431136
England,,1497,1156.289659
England,,1498,1166.060551
England,,1499,1168.984609
England,,1500,1147.928102
England,,1501,1104.694572
England,,1502,1142.029974
England,,1503,1188.356895
England,,1504,1189.003249
England,,1505,1198.860296
England,,1506,1201.334377
England,,1507,1176.589926
England,,1508,1190.085623
England,,1509,1242.482429
England,,1510,1195.483191
England,,1511,1216.714034
England,,1512,1159.624864
England,,1513,1207.06471
England,,1514,1201.629706
England,,1515,1231.171997
England,,1516,1217.149697
England,,1517,1217.532578
England,,1518,1220.926296
England,,1519,1206.801876
England,,1520,1186.700729
England,,1521,1211.521692
England,,1522,1229.772374
England,,1523,1248.926975
England,,1524,1262.076038
England,,1525,1249.833464
England,,1526,1252.7953
England,,1527,1158.512686
England,,1528,1164.321177
England,,1529,1177.395279
England,,1530,1187.25506
England,,1531,1142.476107
England,,1532,1177.362495
England,,1533,1166.600827
England,,1534,1213.946128
England,,1535,1125.761834
England,,1536,1108.295569
England,,1537,1188.763612
England,,1538,1120.83075
England,,1539,1203.950314
England,,1540,1158.759085
England,,1541,1121.748707
England,,1542,1157.147993
England,,1543,1115.425601
England,,1544,1172.663108
England,,1545,1136.301458
England,,1546,1152.920978
England,,1547,1244.811558
England,,1548,1187.070482
England,,1549,1134.611168
England,,1550,1118.530973
England,,1551,1084.942292
England,,1552,1033.356292
England,,1553,1204.463314
England,,1554,1093.088999
England,,1555,1081.415679
England,,1556,875.7442315
England,,1557,959.8508002
England,,1558,1246.459591
England,,1559,1179.205603
England,,1560,1185.399858
England,,1561,1202.720582
England,,1562,1191.765916
England,,1563,1294.012705
England,,1564,1246.58755
England,,1565,1243.575875
England,,1566,1390.639913
England,,1567,1298.822729
England,,1568,1292.317383
England,,1569,1281.822659
England,,1570,1175.077624
England,,1571,1174.964461
England,,1572,1132.982283
England,,1573,1294.569152
England,,1574,1142.33306
England,,1575,1268.523622
England,,1576,1304.337248
England,,1577,1102.573066
England,,1578,1254.073662
England,,1579,1231.205875
England,,1580,1160.832693
England,,1581,1118.776671
England,,1582,997.9582233
England,,1583,1123.377222
England,,1584,1079.90812
England,,1585,944.0570508
England,,1586,917.373366
England,,1587,1015.561829
England,,1588,1143.063963
England,,1589,997.0738888
England,,1590,1053.45615
England,,1591,1060.608881
England,,1592,1144.570865
England,,1593,1212.243605
England,,1594,983.6452276
England,,1595,982.8624638
England,,1596,932.6012573
England,,1597,890.1858227
England,,1598,1061.006159
England,,1599,1209.234577
England,,1600,1143.365734
England,,1601,1130.242796
England,,1602,1184.511128
England,,1603,1250.782518
England,,1604,1330.178164
England,,1605,1184.860273
England,,1606,1238.434441
England,,1607,1122.757029
England,,1608,1062.677069
England,,1609,1225.612724
England,,1610,1297.750426
England,,1611,1188.136055
England,,1612,1132.766974
England,,1613,1090.407646
England,,1614,1051.609024
England,,1615,1136.765294
England,,1616,1072.890236
England,,1617,1183.05711
England,,1618,1176.455846
England,,1619,1072.96526
England,,1620,1245.828704
England,,1621,1238.982248
England,,1622,1069.067835
England,,1623,1060.164158
England,,1624,1204.507459
England,,1625,1216.134627
England,,1626,1170.079777
England,,1627,1171.853878
England,,1628,1316.50525
England,,1629,967.3579363
England,,1630,957.6457912
England,,1631,981.0489131
England,,1632,1102.202178
