;Unnamed: 0;online_provider;bank_name;currency;max_amount_available;transactions;cambio_a_dolar
0;0;SPECIFIC_BANK;BOD;VES;3500000000;1;866,122247
1;1;SPECIFIC_BANK;Provincial;VES;27459113100;1;6795,128211
2;2;SPECIFIC_BANK;Banesco;VES;3170000000;1;784,4592923
3;3;SPECIFIC_BANK;Banesco;VES;10000000000;1;2474,634991
4;4;SPECIFIC_BANK;Provincial;VES;4000000000;1;989,8539965
5;5;SPECIFIC_BANK;Venezuela;VES;1665321760;1;412,10635
6;6;SPECIFIC_BANK;Banesco;VES;7000000000;1;1732,244494
7;7;SPECIFIC_BANK;Banesco;VES;8461517728;1;2093,916785
8;8;SPECIFIC_BANK;Provincial;VES;1501688285;1;371,6130375
9;9;SPECIFIC_BANK;Provincial;VES;5588600000;1;1382,974511
10;10;SPECIFIC_BANK;Banesco;VES;5850765000;1;1447,85078
11;11;SPECIFIC_BANK;Venezuela;VES;365024670;1;90,33028211
12;12;SPECIFIC_BANK;BOD;VES;6300000000;1;1559,020045
13;13;SPECIFIC_BANK;Venezuela;VES;678410876,7;1;167,8819294
14;14;SPECIFIC_BANK;Banesco;VES;10678667,35;1;2,642580389
15;15;SPECIFIC_BANK;Provincial;VES;14057000000;1;3478,594407
16;16;SPECIFIC_BANK;Mercantil;VES;350317600;1;86,6908191
17;17;SPECIFIC_BANK;Venezuela;VES;4352798450;1;1077,158735
18;18;SPECIFIC_BANK;BOD;VES;80000000;1;19,79707993
19;19;SPECIFIC_BANK;Venezuela;VES;3454852396;1;854,9498629
20;20;SPECIFIC_BANK;Venezuela;VES;8289780090;1;2051,417988
21;21;SPECIFIC_BANK;BOD;VES;6375308494;1;1577,656148
22;22;SPECIFIC_BANK;Provincial;VES;1650000000;1;408,3147736
23;23;SPECIFIC_BANK;Provincial;VES;111860000;1;27,68126701
24;24;SPECIFIC_BANK;Provincial;VES;472959184;1;117,0401346
25;25;SPECIFIC_BANK;Provincial;VES;269747476;1;66,75265429
26;26;SPECIFIC_BANK;Banesco;VES;2702265723;1;668,7121313
