,VehicleNo,TripId,RouteNo,Direction,Destination,Pattern,Latitude,Longitude,RecordedTime,RouteMap
0,11323,10786178,148,WEST,ROYAL OAK STN,WB1,49.21835,-122.988483,04:46:43 pm,{'Href': 'https://nb.translink.ca/geodata/148.kmz'}
1,11324,10808104,413,WEST,STEVESTON,WB1,49.1292,-123.181167,04:47:18 pm,{'Href': 'https://nb.translink.ca/geodata/413.kmz'}
2,12001,10774348,049,EAST,METROTOWN STN,EB1,49.22185,-123.016917,04:47:03 pm,{'Href': 'https://nb.translink.ca/geodata/049.kmz'}
3,12004,10774349,049,EAST,METROTOWN STN,EB1,49.222517,-123.012567,04:45:56 pm,{'Href': 'https://nb.translink.ca/geodata/049.kmz'}
4,12005,10823437,480,EAST,BRIDGEPORT STN,EB1BP,49.267717,-123.247083,04:47:09 pm,{'Href': 'https://nb.translink.ca/geodata/480.kmz'}
5,12007,10774563,049,WEST,UBC,WB1,49.22195,-123.009667,04:46:32 pm,{'Href': 'https://nb.translink.ca/geodata/049.kmz'}
6,12009,10774345,049,EAST,METROTOWN STN,EB1,49.225633,-123.100783,04:47:12 pm,{'Href': 'https://nb.translink.ca/geodata/049.kmz'}
7,12013,10774487,049,WEST,UBC,WB1,49.225667,-123.1024,04:45:45 pm,{'Href': 'https://nb.translink.ca/geodata/049.kmz'}
8,12017,10774569,049,WEST,UBC,WB1,49.225617,-123.09905,04:46:30 pm,{'Href': 'https://nb.translink.ca/geodata/049.kmz'}
9,12018,10774328,049,EAST,METROTOWN STN,EB1,49.2247,-123.040317,04:47:10 pm,{'Href': 'https://nb.translink.ca/geodata/049.kmz'}
10,12019,10774303,049,EAST,METROTOWN STN,EB1,49.225933,-123.112233,04:47:04 pm,{'Href': 'https://nb.translink.ca/geodata/049.kmz'}
11,12021,10774539,049,WEST,UBC,WB1,49.2334,-123.185333,04:46:56 pm,{'Href': 'https://nb.translink.ca/geodata/049.kmz'}
12,12022,10774486,049,WEST,UBC,WB1,49.225667,-123.10235,04:46:40 pm,{'Href': 'https://nb.translink.ca/geodata/049.kmz'}
13,12023,10774440,049,EAST,METROTOWN STN,EB1,49.237,-123.204683,04:47:11 pm,{'Href': 'https://nb.translink.ca/geodata/049.kmz'}
14,12024,10774346,049,EAST,METROTOWN STN,EB1,49.2246,-123.032167,04:46:38 pm,{'Href': 'https://nb.translink.ca/geodata/049.kmz'}
15,12025,10774570,049,WEST,UBC,WB1,49.23015,-123.17955,04:46:14 pm,{'Href': 'https://nb.translink.ca/geodata/049.kmz'}
16,14001,10786689,152,WEST,LOUGHEED STN VIA CHILKO,WB1CHI,49.27545,-122.79885,04:43:54 pm,{'Href': 'https://nb.translink.ca/geodata/152.kmz'}
17,14002,10784826,143,EAST,BURQUITLAM STN,EB1N,49.271583,-122.923667,04:47:47 pm,{'Href': 'https://nb.translink.ca/geodata/143.kmz'}
18,14005,10787965,160,WEST,KOOTENAY LOOP,WB1,49.287017,-122.953033,04:47:41 pm,{'Href': 'https://nb.translink.ca/geodata/160.kmz'}
19,14006,10786865,153,EAST,COQ CTRL STN,EB1,49.263183,-122.832833,04:47:38 pm,{'Href': 'https://nb.translink.ca/geodata/153.kmz'}
20,14007,10812296,701,EAST,MAPLE RIDGE EAST,EB1D1,49.274667,-122.7989,04:43:31 pm,{'Href': 'https://nb.translink.ca/geodata/701.kmz'}
21,14008,10787719,159,WEST,BRAID STN,WB2,49.272217,-122.78765,04:46:12 pm,{'Href': 'https://nb.translink.ca/geodata/159.kmz'}
22,14011,10813434,791,WEST,BRAID STN,W1,49.244133,-122.721083,04:47:25 pm,{'Href': 'https://nb.translink.ca/geodata/791.kmz'}
23,14013,10786470,151,WEST,BURQUITLAM STN,WB1,49.263267,-122.831267,04:46:38 pm,{'Href': 'https://nb.translink.ca/geodata/151.kmz'}
24,14014,10787935,160,WEST,KOOTENAY LOOP,WB1,49.2834,-122.7931,04:47:36 pm,{'Href': 'https://nb.translink.ca/geodata/160.kmz'}
25,14015,10787718,159,WEST,BRAID STN,WB2,49.275817,-122.798567,04:40:56 pm,{'Href': 'https://nb.translink.ca/geodata/159.kmz'}
26,14016,10812382,701,WEST,COQ CTRL STN,WB4M,49.276217,-122.796883,04:47:17 pm,{'Href': 'https://nb.translink.ca/geodata/701.kmz'}
27,14017,10787298,156,EAST,BRAID STN,EB1,49.240283,-122.850617,04:47:07 pm,{'Href': 'https://nb.translink.ca/geodata/156.kmz'}
28,14018,10812340,701,WEST,COQ CTRL STN,WB1MRB,49.221417,-122.663167,04:46:27 pm,{'Href': 'https://nb.translink.ca/geodata/701.kmz'}
29,14019,10786867,153,EAST,COQ CTRL STN,EB1,49.23345,-122.88275,04:46:41 pm,{'Href': 'https://nb.translink.ca/geodata/153.kmz'}
30,14020,10786692,152,WEST,LOUGHEED STN,WB1MAR,49.249117,-122.89215,04:47:36 pm,{'Href': 'https://nb.translink.ca/geodata/152.kmz'}
31,14022,10787521,157,WEST,LOUGHEED STN,WB1,49.241133,-122.88395,04:47:09 pm,{'Href': 'https://nb.translink.ca/geodata/157.kmz'}
32,14024,10812297,701,EAST,MAPLE RIDGE EAST,EB1D1,49.2204,-122.58405,04:46:35 pm,{'Href': 'https://nb.translink.ca/geodata/701.kmz'}
33,14025,10790185,183,WEST,MOODY CTR STN,WB1,49.2844,-122.818017,04:46:26 pm,{'Href': 'https://nb.translink.ca/geodata/183.kmz'}
34,14026,10791828,191,SOUTH,COQ CTRL STN,SB1,49.295833,-122.742483,04:46:54 pm,{'Href': 'https://nb.translink.ca/geodata/191.kmz'}
35,14027,10787661,159,EAST,COQ CTRL STN,EB1A,49.262633,-122.781317,04:46:53 pm,{'Href': 'https://nb.translink.ca/geodata/159.kmz'}
36,14029,10813438,791,WEST,BRAID STN,W1,49.228167,-122.840183,04:47:11 pm,{'Href': 'https://nb.translink.ca/geodata/791.kmz'}
37,14031,10787891,160,EAST,PT COQ STN,EB1,49.280917,-123.021433,04:47:02 pm,{'Href': 'https://nb.translink.ca/geodata/160.kmz'}
38,14032,10787966,160,WEST,KOOTENAY LOOP,WB1,49.281033,-123.0097,04:46:12 pm,{'Href': 'https://nb.translink.ca/geodata/160.kmz'}
39,14035,10791418,188,WEST,COQ CTRL STN,WB2,49.253017,-122.76285,04:46:31 pm,{'Href': 'https://nb.translink.ca/geodata/188.kmz'}
40,14037,10813385,791,EAST,HANEY PLACE,E1,49.229967,-122.689533,04:47:24 pm,{'Href': 'https://nb.translink.ca/geodata/791.kmz'}
41,14038,10828094,145,SOUTH,PRODUCTION STN,SB1,49.252633,-122.913767,04:45:47 pm,{'Href': 'https://nb.translink.ca/geodata/145.kmz'}
42,14039,10787962,160,WEST,KOOTENAY LOOP,WB1,49.261117,-122.774,04:47:26 pm,{'Href': 'https://nb.translink.ca/geodata/160.kmz'}
43,14041,10782398,123,EAST,NEW WEST STN,EB1,49.249933,-122.985217,04:47:22 pm,{'Href': 'https://nb.translink.ca/geodata/123.kmz'}
44,14042,10787149,155,WEST,22ND ST STN,WB1,49.217683,-122.911933,04:46:56 pm,{'Href': 'https://nb.translink.ca/geodata/155.kmz'}
45,14043,10779290,101,EAST,LOUGHEED STN,EB1,49.225233,-122.9218,04:47:22 pm,{'Href': 'https://nb.translink.ca/geodata/101.kmz'}
46,15001,10826155,503,EAST,FRASER HWY EXP/LANGLEY CTR,EB4,49.178417,-122.833383,04:46:30 pm,{'Href': 'https://nb.translink.ca/geodata/503.kmz'}
47,15002,10826079,503,EAST,FRASER HWY EXP/LANGLEY CTR,EB4,49.189017,-122.848,04:44:28 pm,{'Href': 'https://nb.translink.ca/geodata/503.kmz'}
48,15003,10777096,096,SOUTH,NEWTON EXCH B-LINE,SB1AGT,49.133717,-122.845683,04:46:14 pm,{'Href': 'https://nb.translink.ca/geodata/096.kmz'}
49,15004,10826097,503,EAST,FRASER HWY EXP/LANGLEY CTR,EB4,49.152483,-122.766617,04:46:18 pm,{'Href': 'https://nb.translink.ca/geodata/503.kmz'}
50,15005,10777097,096,SOUTH,NEWTON EXCH B-LINE,SB1AGT,49.141117,-122.845733,04:47:18 pm,{'Href': 'https://nb.translink.ca/geodata/096.kmz'}
51,15006,10777032,096,SOUTH,NEWTON EXCH B-LINE,SB1AGT,49.192417,-122.800983,04:46:26 pm,{'Href': 'https://nb.translink.ca/geodata/096.kmz'}
52,15007,10776915,096,NORTH,GUILDFORD B-LINE,NB1AGT,49.19195,-122.800833,04:46:35 pm,{'Href': 'https://nb.translink.ca/geodata/096.kmz'}
53,15009,10826152,503,EAST,FRASER HWY EXP/LANGLEY CTR,EB4,0.0,0.0,04:47:02 pm,{'Href': 'https://nb.translink.ca/geodata/503.kmz'}
54,1501,10790384,184,NORTH,NOONS CREEK,NB1,49.277233,-122.84765,04:47:01 pm,{'Href': 'https://nb.translink.ca/geodata/184.kmz'}
55,15011,10826269,503,WEST,FRASER HWY EXP/SURREY CTRL STN,WB4,49.165733,-122.80035,04:47:12 pm,{'Href': 'https://nb.translink.ca/geodata/503.kmz'}
56,15014,10823423,480,EAST,BRIDGEPORT STN,EB1BP,49.22615,-123.139833,04:47:25 pm,{'Href': 'https://nb.translink.ca/geodata/480.kmz'}
57,15015,10811828,620,SOUTH,TSAWW. FERRY VIA LADNER EXCH,SB1,49.1962,-123.126783,04:46:08 pm,{'Href': 'https://nb.translink.ca/geodata/620.kmz'}
58,15016,10774483,049,WEST,UBC,WB1,49.226033,-123.003867,04:46:53 pm,{'Href': 'https://nb.translink.ca/geodata/049.kmz'}
59,15018,10774439,049,EAST,METROTOWN STN,EB1,49.252667,-123.245233,04:46:40 pm,{'Href': 'https://nb.translink.ca/geodata/049.kmz'}
60,15019,10823476,480,WEST,UBC,WB1P1,49.195417,-123.126783,04:38:57 pm,{'Href': 'https://nb.translink.ca/geodata/480.kmz'}
61,1502,10789357,174,EAST,ROCKLIN,EB1,49.260867,-122.78195,04:46:36 pm,{'Href': 'https://nb.translink.ca/geodata/174.kmz'}
