,VehicleNo,TripId,RouteNo,Direction,Destination,Pattern,Latitude,Longitude,RecordedTime,RouteMap
0,11323,10781690,116,WEST,METROTOWN STN,WB1,49.19895,-122.978183,11:54:43 am,{'Href': 'https://nb.translink.ca/geodata/116.kmz'}
1,11324,10779750,103,WEST,QUAYSIDE,WB1,49.2053,-122.906267,11:54:57 am,{'Href': 'https://nb.translink.ca/geodata/103.kmz'}
2,12001,10774739,049,WEST,UBC,WB1,49.24565,-123.23485,11:54:44 am,{'Href': 'https://nb.translink.ca/geodata/049.kmz'}
3,12002,10774641,049,EAST,METROTOWN STN,EB1,49.23485,-123.196733,11:55:13 am,{'Href': 'https://nb.translink.ca/geodata/049.kmz'}
4,12012,10811926,620,SOUTH,TSAWW. FERRY VIA LADNER EXCH,SB1,49.132583,-123.0871,11:55:03 am,{'Href': 'https://nb.translink.ca/geodata/620.kmz'}
5,12021,10823646,049,WEST,UBC,WB1,49.2256,-123.09835,11:55:14 am,{'Href': 'https://nb.translink.ca/geodata/049.kmz'}
6,14001,10788014,160,EAST,PT COQ STN,EB1,49.27225,-122.787717,11:55:00 am,{'Href': 'https://nb.translink.ca/geodata/160.kmz'}
7,14002,10788016,160,EAST,PT COQ STN,EB1,49.276617,-122.849433,11:55:27 am,{'Href': 'https://nb.translink.ca/geodata/160.kmz'}
8,14005,10791863,191,NORTH,PRINCETON,NB1,49.2928,-122.782117,11:54:17 am,{'Href': 'https://nb.translink.ca/geodata/191.kmz'}
9,14011,10788018,160,EAST,PT COQ STN,EB1,49.281483,-123.026183,11:46:31 am,{'Href': 'https://nb.translink.ca/geodata/160.kmz'}
10,14014,10787756,159,EAST,COQ CTRL STN,EB1A,49.254033,-122.778267,11:55:52 am,{'Href': 'https://nb.translink.ca/geodata/159.kmz'}
11,14015,10812518,701,WEST,COQ CTRL STN,WB1MRB,49.27605,-122.79645,11:55:43 am,{'Href': 'https://nb.translink.ca/geodata/701.kmz'}
12,14017,10786790,152,WEST,LOUGHEED STN,WB1MAR,49.245433,-122.884683,11:55:54 am,{'Href': 'https://nb.translink.ca/geodata/152.kmz'}
13,14018,10790245,183,EAST,COQ CTRL STN,EB1,49.298383,-122.787967,11:55:23 am,{'Href': 'https://nb.translink.ca/geodata/183.kmz'}
14,14019,10788392,169,WEST,BRAID STN,WB1,49.235167,-122.8767,11:54:19 am,{'Href': 'https://nb.translink.ca/geodata/169.kmz'}
15,14020,10788100,160,WEST,KOOTENAY LOOP,WB1,49.280983,-122.866683,11:55:22 am,{'Href': 'https://nb.translink.ca/geodata/160.kmz'}
16,14022,10788015,160,EAST,PT COQ STN,EB1,49.283833,-122.79305,11:55:54 am,{'Href': 'https://nb.translink.ca/geodata/160.kmz'}
17,14024,10787783,159,WEST,BRAID STN,WB1,49.275617,-122.798333,11:53:56 am,{'Href': 'https://nb.translink.ca/geodata/159.kmz'}
18,14027,10812458,701,EAST,MAPLE RIDGE EAST,EB1D1,49.2204,-122.583433,11:55:32 am,{'Href': 'https://nb.translink.ca/geodata/701.kmz'}
19,14029,10787388,156,WEST,LOUGHEED STN,WB1,49.238367,-122.86385,11:55:39 am,{'Href': 'https://nb.translink.ca/geodata/156.kmz'}
20,14031,10788328,169,EAST,COQ CTRL STN,EB1,49.27525,-122.798367,11:55:23 am,{'Href': 'https://nb.translink.ca/geodata/169.kmz'}
21,14035,10812501,701,WEST,COQ CTRL STN,WB1MRB,49.220417,-122.58995,11:55:47 am,{'Href': 'https://nb.translink.ca/geodata/701.kmz'}
22,14038,10790265,183,WEST,MOODY CTR STN,WB1,49.280267,-122.793567,11:54:38 am,{'Href': 'https://nb.translink.ca/geodata/183.kmz'}
23,15001,10777166,096,NORTH,GUILDFORD B-LINE,NB1GT,49.191433,-122.801567,11:55:24 am,{'Href': 'https://nb.translink.ca/geodata/096.kmz'}
24,15002,10777269,096,SOUTH,NEWTON EXCH B-LINE,SB1GT,49.161883,-122.845967,11:55:52 am,{'Href': 'https://nb.translink.ca/geodata/096.kmz'}
25,15005,10777316,096,SOUTH,NEWTON EXCH B-LINE,SB1GT,49.1891,-122.8477,11:55:36 am,{'Href': 'https://nb.translink.ca/geodata/096.kmz'}
26,15007,10777270,096,SOUTH,NEWTON EXCH B-LINE,SB1GT,49.191533,-122.804467,11:55:26 am,{'Href': 'https://nb.translink.ca/geodata/096.kmz'}
27,15009,10777168,096,NORTH,GUILDFORD B-LINE,NB1GT,49.133533,-122.844667,11:55:13 am,{'Href': 'https://nb.translink.ca/geodata/096.kmz'}
28,1501,10789460,174,WEST,COQ CTRL STN,WB1,49.265383,-122.7884,11:55:40 am,{'Href': 'https://nb.translink.ca/geodata/174.kmz'}
29,15011,10826335,503,EAST,FRASER HWY EXP/LANGLEY CTR,EB4,49.156667,-122.777317,11:55:38 am,{'Href': 'https://nb.translink.ca/geodata/503.kmz'}
30,15013,10826336,503,EAST,FRASER HWY EXP/LANGLEY CTR,EB4,49.189033,-122.848683,11:54:34 am,{'Href': 'https://nb.translink.ca/geodata/503.kmz'}
31,15015,10774643,049,EAST,METROTOWN STN,EB1,49.226333,-123.1229,11:55:32 am,{'Href': 'https://nb.translink.ca/geodata/049.kmz'}
32,15018,10774613,049,EAST,METROTOWN STN,EB1,49.224717,-123.035967,11:55:05 am,{'Href': 'https://nb.translink.ca/geodata/049.kmz'}
33,1502,10813160,744,EAST,HANEY PLACE,EB1,49.2207,-122.6726,11:50:11 am,{'Href': 'https://nb.translink.ca/geodata/744.kmz'}
34,15021,10774685,049,WEST,UBC,WB1,49.227133,-123.1531,11:54:49 am,{'Href': 'https://nb.translink.ca/geodata/049.kmz'}
35,1505,10784666,136,EAST,LOUGHEED STN,EB1,49.2663,-122.999933,11:55:51 am,{'Href': 'https://nb.translink.ca/geodata/136.kmz'}
36,1509,10786044,147,WEST,METROTOWN STN,WB1,49.214833,-123.0001,11:54:59 am,{'Href': 'https://nb.translink.ca/geodata/147.kmz'}
37,1512,10780254,105,WEST,NEW WEST STN,WB1,49.2078,-122.904417,11:55:39 am,{'Href': 'https://nb.translink.ca/geodata/105.kmz'}
38,1513,10808243,414,EAST,BRIGHOUSE STN,EB1,49.172667,-123.154967,11:54:14 am,{'Href': 'https://nb.translink.ca/geodata/414.kmz'}
39,1514,10811255,609,EAST,SOUTH DELTA EXCH,EB1,49.0457,-123.1064,11:54:50 am,{'Href': 'https://nb.translink.ca/geodata/609.kmz'}
40,1518,10781666,116,EAST,EDMONDS STN,EB1,49.225817,-123.003417,11:48:54 am,{'Href': 'https://nb.translink.ca/geodata/116.kmz'}
41,1522,10775716,070,SOUTH,WESBROOK MALL,SB1,49.258667,-123.24455,11:55:01 am,{'Href': 'https://nb.translink.ca/geodata/070.kmz'}
42,1523,10770857,023,WEST,BEACH,WB1,49.273317,-123.098583,11:53:26 am,{'Href': 'https://nb.translink.ca/geodata/023.kmz'}
43,1527,10808144,413,WEST,STEVESTON,WB1,49.134817,-123.064883,11:55:48 am,{'Href': 'https://nb.translink.ca/geodata/413.kmz'}
44,1529,10770750,023,EAST,MAIN ST STN,EB1,49.27425,-123.117467,11:55:11 am,{'Href': 'https://nb.translink.ca/geodata/023.kmz'}
45,1530,10779672,103,EAST,VICTORIA HILL,EB1,49.209583,-122.90225,11:55:14 am,{'Href': 'https://nb.translink.ca/geodata/103.kmz'}
46,1536,10770856,023,WEST,BEACH,WB1,49.273833,-123.12745,11:53:41 am,{'Href': 'https://nb.translink.ca/geodata/023.kmz'}
47,1538,10781665,116,EAST,EDMONDS STN,EB1,49.204233,-122.955833,11:55:35 am,{'Href': 'https://nb.translink.ca/geodata/116.kmz'}
48,1539,10808064,412,WEST,SEA ISLAND SOUTH,WB1,49.194833,-123.127533,11:55:53 am,{'Href': 'https://nb.translink.ca/geodata/412.kmz'}
49,1540,10808145,413,WEST,STEVESTON,WB1,49.125783,-123.1812,11:55:02 am,{'Href': 'https://nb.translink.ca/geodata/413.kmz'}
50,1541,10779749,103,WEST,QUAYSIDE,WB1,49.200833,-122.912233,11:54:52 am,{'Href': 'https://nb.translink.ca/geodata/103.kmz'}
51,1543,10811336,614,NORTH,SOUTH DELTA EXCH,NB1,49.024617,-123.059833,11:55:46 am,{'Href': 'https://nb.translink.ca/geodata/614.kmz'}
52,1544,10786270,148,WEST,ROYAL OAK STN,WB1,49.210017,-122.99425,11:55:46 am,{'Href': 'https://nb.translink.ca/geodata/148.kmz'}
53,16002,10783130,129,WEST,PATTERSON STN,WB1,49.281067,-123.0139,11:55:32 am,{'Href': 'https://nb.translink.ca/geodata/129.kmz'}
54,16006,10868945,100,EAST,22ND ST STN,EB1,49.209417,-123.115917,11:54:42 am,{'Href': 'https://nb.translink.ca/geodata/100.kmz'}
55,16007,10787193,155,WEST,22ND ST STN,WB1,49.212717,-122.921217,11:55:29 am,{'Href': 'https://nb.translink.ca/geodata/155.kmz'}
56,16009,10782546,123,EAST,NEW WEST STN,EB1,49.247733,-122.978517,11:55:23 am,{'Href': 'https://nb.translink.ca/geodata/123.kmz'}
57,16011,10782151,119,WEST,METROTOWN STN,WB119,49.228617,-122.999817,11:55:51 am,{'Href': 'https://nb.translink.ca/geodata/119.kmz'}
58,16013,10807631,410,EAST,22ND ST STN,EB1,49.184567,-123.079283,11:55:29 am,{'Href': 'https://nb.translink.ca/geodata/410.kmz'}
59,16015,10782023,119,EAST,EDMONDS STN,EB1,49.218433,-122.959733,11:55:13 am,{'Href': 'https://nb.translink.ca/geodata/119.kmz'}
60,16016,10869065,100,WEST,MARPOLE,WB1,49.209617,-123.115267,11:55:33 am,{'Href': 'https://nb.translink.ca/geodata/100.kmz'}
61,16017,10785106,144,NORTH,SFU,NB1,49.248833,-122.9747,11:55:49 am,{'Href': 'https://nb.translink.ca/geodata/144.kmz'}
62,16020,10780611,106,EAST,NEW WEST STN,EB106,49.224917,-122.935083,11:55:21 am,{'Href': 'https://nb.translink.ca/geodata/106.kmz'}
63,16023,10780612,106,EAST,NEW WEST STN,EB106,49.221167,-122.946483,11:55:01 am,{'Href': 'https://nb.translink.ca/geodata/106.kmz'}
64,16024,10781430,112,WEST,EDMONDS STN,WB1,49.20655,-122.9292,11:55:31 am,{'Href': 'https://nb.translink.ca/geodata/112.kmz'}
65,16025,10807669,410,EAST,22ND ST STN,EB1,49.184667,-123.126217,11:54:14 am,{'Href': 'https://nb.translink.ca/geodata/410.kmz'}
66,16029,10783109,129,EAST,HOLDOM STN,EB1,49.281017,-123.00485,11:55:53 am,{'Href': 'https://nb.translink.ca/geodata/129.kmz'}
67,16034,10802090,340,WEST,22ND ST STN,WB1,49.137867,-122.887667,11:52:11 am,{'Href': 'https://nb.translink.ca/geodata/340.kmz'}
68,16035,10780646,106,WEST,EDMONDS STN,WB106,49.202317,-122.909483,11:54:45 am,{'Href': 'https://nb.translink.ca/geodata/106.kmz'}
69,16036,10779392,101,WEST,22ND ST STN,WB1,49.24805,-122.894,11:50:55 am,{'Href': 'https://nb.translink.ca/geodata/101.kmz'}
70,16045,10784279,133,WEST,HOLDOM STN,WB1,49.219,-122.957517,11:55:21 am,{'Href': 'https://nb.translink.ca/geodata/133.kmz'}
71,16050,10807738,410,WEST,BRIGHOUSE STN,W1,49.184583,-123.103867,11:55:21 am,{'Href': 'https://nb.translink.ca/geodata/410.kmz'}
72,16102,10808483,430,WEST,BRIGHOUSE STN,WB1,49.192,-123.11635,11:55:24 am,{'Href': 'https://nb.translink.ca/geodata/430.kmz'}
73,16103,10807201,408,WEST,BRIGHOUSE STN,WB1RP,49.141633,-123.0917,11:55:22 am,{'Href': 'https://nb.translink.ca/geodata/408.kmz'}
74,16105,10806810,407,NORTH,BRIGHOUSE STN,NB3,49.136817,-123.147833,11:55:43 am,{'Href': 'https://nb.translink.ca/geodata/407.kmz'}
75,16106,10807135,408,EAST,RIVERPORT,EB1HRP,49.13105,-123.094567,11:55:46 am,{'Href': 'https://nb.translink.ca/geodata/408.kmz'}
