,VehicleNo,TripId,RouteNo,Direction,Destination,Pattern,Latitude,Longitude,RecordedTime,RouteMap
0,14008,10787699,159,EAST,COQ CTRL STN,EB1A,49.226917,-122.805933,01:46:32 am,{'Href': 'https://nb.translink.ca/geodata/159.kmz'}
1,14009,10791380,188,EAST,PT COQ STN,EB2,49.276267,-122.797633,01:47:16 am,{'Href': 'https://nb.translink.ca/geodata/188.kmz'}
2,14013,10786442,151,WEST,BURQUITLAM STN,WB1,49.2636,-122.875233,01:47:47 am,{'Href': 'https://nb.translink.ca/geodata/151.kmz'}
3,14014,10819516,N9,WEST,DOWNTOWN NIGHTBUS,WB1,49.275617,-122.798717,01:46:49 am,{'Href': 'https://nb.translink.ca/geodata/N9.kmz'}
4,14026,10791392,188,WEST,COQ CTRL STN,WB2,49.260917,-122.77385,01:47:39 am,{'Href': 'https://nb.translink.ca/geodata/188.kmz'}
5,14032,10787941,160,WEST,KOOTENAY LOOP,WB1,49.289183,-122.94235,01:47:51 am,{'Href': 'https://nb.translink.ca/geodata/160.kmz'}
6,14037,10819517,N9,WEST,DOWNTOWN NIGHTBUS,WB1,49.27655,-122.86885,01:47:12 am,{'Href': 'https://nb.translink.ca/geodata/N9.kmz'}
7,14039,10787868,160,EAST,PT COQ STN,EB1,49.2756,-122.79835,01:47:11 am,{'Href': 'https://nb.translink.ca/geodata/160.kmz'}
8,14045,10786399,151,EAST,COQ CTRL STN,EB1,49.270817,-122.802483,01:47:16 am,{'Href': 'https://nb.translink.ca/geodata/151.kmz'}
9,15003,10819295,N19,WEST,DOWNTOWN NIGHTBUS,W1,49.221567,-122.930867,01:47:31 am,{'Href': 'https://nb.translink.ca/geodata/N19.kmz'}
10,16013,10782794,128,EAST,BRAID STN,EB1,49.22175,-122.9132,01:47:41 am,{'Href': 'https://nb.translink.ca/geodata/128.kmz'}
11,16106,10807015,408,EAST,IRONWOOD,EB1HW,49.166433,-123.12475,01:47:14 am,{'Href': 'https://nb.translink.ca/geodata/408.kmz'}
12,16112,10806761,407,SOUTH,GILBERT,SB1W,49.19205,-123.100383,01:47:36 am,{'Href': 'https://nb.translink.ca/geodata/407.kmz'}
13,16501,10790164,183,WEST,MOODY CTR STN,WB1,49.29945,-122.78825,01:47:37 am,{'Href': 'https://nb.translink.ca/geodata/183.kmz'}
14,16514,10790109,183,EAST,COQ CTRL STN,EB1,49.2777,-122.845567,01:40:14 am,{'Href': 'https://nb.translink.ca/geodata/183.kmz'}
15,16518,10780886,109,NORTH,LOUGHEED STN,NB1,49.200917,-122.91315,01:47:23 am,{'Href': 'https://nb.translink.ca/geodata/109.kmz'}
16,16534,10788277,169,EAST,COQ CTRL STN,EB1,49.232683,-122.883283,01:46:36 am,{'Href': 'https://nb.translink.ca/geodata/169.kmz'}
17,17514,10790110,183,EAST,COQ CTRL STN,EB1,49.297467,-122.812733,01:47:20 am,{'Href': 'https://nb.translink.ca/geodata/183.kmz'}
18,18026,10819294,N19,WEST,DOWNTOWN NIGHTBUS,W1,49.188833,-122.849317,01:42:26 am,{'Href': 'https://nb.translink.ca/geodata/N19.kmz'}
19,18027,10819296,N19,WEST,DOWNTOWN NIGHTBUS,W1,49.279267,-123.099733,01:47:49 am,{'Href': 'https://nb.translink.ca/geodata/N19.kmz'}
