,year,death_cause,state,death_number,age,adjusted_age
0,1999,Unintentional Injuries,Alabama,2313,52.17,52.17
1,1999,Unintentional Injuries,Alaska,294,55.91,55.91
2,1999,Unintentional Injuries,Arizona,2214,44.79,44.79
3,1999,Unintentional Injuries,Arkansas,1287,47.56,47.56
4,1999,Unintentional Injuries,California,9198,28.71,28.71
5,1999,Unintentional Injuries,Colorado,1519,38.98,38.98
6,1999,Unintentional Injuries,Connecticut,1034,29.31,29.31
7,1999,Unintentional Injuries,Delaware,267,35.25,35.25
8,1999,Unintentional Injuries,District of Columbia,161,28.38,28.38
9,1999,Unintentional Injuries,Florida,5961,35.73,35.73
10,1999,Unintentional Injuries,Georgia,3078,41.52,41.52
11,1999,Unintentional Injuries,Hawaii,293,24.33,24.33
12,1999,Unintentional Injuries,Idaho,597,48.32,48.32
13,1999,Unintentional Injuries,Illinois,4125,33.69,33.69
14,1999,Unintentional Injuries,Indiana,2309,38.43,38.43
15,1999,Unintentional Injuries,Iowa,1123,35.24,35.24
16,1999,Unintentional Injuries,Kansas,1126,40.68,40.68
17,1999,Unintentional Injuries,Kentucky,1730,43.29,43.29
18,1999,Unintentional Injuries,Louisiana,1940,44.66,44.66
19,1999,Unintentional Injuries,Maine,458,34.87,34.87
20,1999,Unintentional Injuries,Maryland,1296,25.93,25.93
21,1999,Unintentional Injuries,Massachusetts,1303,19.61,19.61
22,1999,Unintentional Injuries,Michigan,3188,32.75,32.75
23,1999,Unintentional Injuries,Minnesota,1772,35.75,35.75
24,1999,Unintentional Injuries,Mississippi,1642,58.85,58.85
25,1999,Unintentional Injuries,Missouri,2465,43.22,43.22
26,1999,Unintentional Injuries,Montana,461,50.25,50.25
27,1999,Unintentional Injuries,Nebraska,668,37.34,37.34
28,1999,Unintentional Injuries,Nevada,710,38.48,38.48
29,1999,Unintentional Injuries,New Hampshire,329,27.53,27.53
30,1999,Unintentional Injuries,New Jersey,2227,26.22,26.22
31,1999,Unintentional Injuries,New Mexico,969,55.86,55.86
32,1999,Unintentional Injuries,New York,4797,25.15,25.15
33,1999,Unintentional Injuries,North Carolina,3290,42.14,42.14
34,1999,Unintentional Injuries,North Dakota,267,38.42,38.42
35,1999,Unintentional Injuries,Ohio,3630,31.82,31.82
37,1999,Unintentional Injuries,Oklahoma,1609,46.26,46.26
38,1999,Unintentional Injuries,Oregon,1199,34.67,34.67
39,1999,Unintentional Injuries,Pennsylvania,4614,35.27,35.27
40,1999,Unintentional Injuries,Rhode Island,243,21.47,21.47
41,1999,Unintentional Injuries,South Carolina,1901,49.18,49.18
42,1999,Unintentional Injuries,South Dakota,351,44.83,44.83
43,1999,Unintentional Injuries,Tennessee,2677,47.78,47.78
44,1999,Unintentional Injuries,Texas,7227,37.56,37.56
46,1999,Unintentional Injuries,Utah,650,33.37,33.37
47,1999,Unintentional Injuries,Vermont,209,34.23,34.23
48,1999,Unintentional Injuries,Virginia,2214,33.17,33.17
49,1999,Unintentional Injuries,Washington,1914,33.29,33.29
50,1999,Unintentional Injuries,West Virginia,798,41.97,41.97
51,1999,Unintentional Injuries,Wisconsin,1955,35.62,35.62
52,1999,Unintentional Injuries,Wyoming,258,52.83,52.83
104,1999,Alzheimer's disease,Alabama,772,17.8,17.8
105,1999,Alzheimer's disease,Alaska,24,11.93,11.93
106,1999,Alzheimer's disease,Arizona,963,20.8,20.8
107,1999,Alzheimer's disease,Arkansas,434,14.84,14.84
108,1999,Alzheimer's disease,California,4532,16.59,16.59
109,1999,Alzheimer's disease,Colorado,756,24.47,24.47
110,1999,Alzheimer's disease,Connecticut,449,11.4,11.4
111,1999,Alzheimer's disease,Delaware,107,15.04,15.04
112,1999,Alzheimer's disease,District of Columbia,53,9.47,9.47
113,1999,Alzheimer's disease,Florida,3059,14.25,14.25
114,1999,Alzheimer's disease,Georgia,1080,18.79,18.79
115,1999,Alzheimer's disease,Hawaii,109,9.43,9.43
116,1999,Alzheimer's disease,Idaho,243,21.37,21.37
117,1999,Alzheimer's disease,Illinois,1908,15.86,15.86
118,1999,Alzheimer's disease,Indiana,1106,18.89,18.89
119,1999,Alzheimer's disease,Iowa,706,18.18,18.18
120,1999,Alzheimer's disease,Kansas,511,16.56,16.56
121,1999,Alzheimer's disease,Kentucky,728,19.28,19.28
122,1999,Alzheimer's disease,Louisiana,683,17.91,17.91
123,1999,Alzheimer's disease,Maine,429,29.63,29.63
124,1999,Alzheimer's disease,Maryland,681,15.41,15.41
125,1999,Alzheimer's disease,Massachusetts,1182,16.51,16.51
126,1999,Alzheimer's disease,Michigan,1431,15.42,15.42
127,1999,Alzheimer's disease,Minnesota,1083,21.11,21.11
128,1999,Alzheimer's disease,Mississippi,356,13.33,13.33
129,1999,Alzheimer's disease,Missouri,914,14.99,14.99
130,1999,Alzheimer's disease,Montana,205,21.35,21.35
131,1999,Alzheimer's disease,Nebraska,331,16.33,16.33
132,1999,Alzheimer's disease,Nevada,174,13.61,13.61
133,1999,Alzheimer's disease,New Hampshire,266,23.17,23.17
134,1999,Alzheimer's disease,New Jersey,1041,11.99,11.99
135,1999,Alzheimer's disease,New Mexico,248,16.43,16.43
136,1999,Alzheimer's disease,New York,1357,7.01,7.01
137,1999,Alzheimer's disease,North Carolina,1456,20.81,20.81
138,1999,Alzheimer's disease,North Dakota,155,18.11,18.11
139,1999,Alzheimer's disease,Ohio,2099,18.21,18.21
140,1999,Alzheimer's disease,Oklahoma,553,15.42,15.42
141,1999,Alzheimer's disease,Oregon,866,24.13,24.13
142,1999,Alzheimer's disease,Pennsylvania,2192,14.42,14.42
143,1999,Alzheimer's disease,Rhode Island,219,16.96,16.96
144,1999,Alzheimer's disease,South Carolina,690,20.46,20.46
145,1999,Alzheimer's disease,South Dakota,155,16.31,16.31
146,1999,Alzheimer's disease,Tennessee,944,17.89,17.89
147,1999,Alzheimer's disease,Texas,2833,18.48,18.48
149,1999,Alzheimer's disease,Utah,245,17.27,17.27
150,1999,Alzheimer's disease,Vermont,127,20.54,20.54
151,1999,Alzheimer's disease,Virginia,917,15.87,15.87
152,1999,Alzheimer's disease,Washington,1577,29.78,29.78
153,1999,Alzheimer's disease,West Virginia,314,15.01,15.01
154,1999,Alzheimer's disease,Wisconsin,1170,19.94,19.94
155,1999,Alzheimer's disease,Wyoming,103,23.91,23.91
156,1999,Homicide,Alabama,438,9.87,9.87
157,1999,Homicide,Alaska,51,8.11,8.11
158,1999,Homicide,Arizona,470,9.18,9.18
159,1999,Homicide,Arkansas,179,6.81,6.81
160,1999,Homicide,California,2066,6.0,6.0
161,1999,Homicide,Colorado,199,4.5,4.5
162,1999,Homicide,Connecticut,120,3.65,3.65
163,1999,Homicide,Delaware,24,3.04,3.04
164,1999,Homicide,District of Columbia,186,29.59,29.59
165,1999,Homicide,Florida,964,6.34,6.34
166,1999,Homicide,Georgia,634,7.49,7.49
167,1999,Homicide,Hawaii,38,3.09,3.09
168,1999,Homicide,Idaho,31,2.38,2.38
169,1999,Homicide,Illinois,1023,8.13,8.13
170,1999,Homicide,Indiana,386,6.28,6.28
171,1999,Homicide,Iowa,53,1.84,1.84
172,1999,Homicide,Kansas,137,5.08,5.08
173,1999,Homicide,Kentucky,210,5.11,5.11
174,1999,Homicide,Louisiana,484,10.68,10.68
175,1999,Homicide,Maine,25,2.04,2.04
176,1999,Homicide,Maryland,531,10.2,10.2
177,1999,Homicide,Massachusetts,133,2.12,2.12
178,1999,Homicide,Michigan,759,7.65,7.65
179,1999,Homicide,Minnesota,139,2.8,2.8
180,1999,Homicide,Mississippi,312,10.92,10.92
181,1999,Homicide,Missouri,385,6.98,6.98
182,1999,Homicide,Montana,33,3.76,3.76
183,1999,Homicide,Nebraska,61,3.54,3.54
184,1999,Homicide,Nevada,167,8.65,8.65
185,1999,Homicide,New Hampshire,21,1.76,1.76
186,1999,Homicide,New Jersey,298,3.61,3.61
187,1999,Homicide,New Mexico,167,9.22,9.22
188,1999,Homicide,New York,969,5.09,5.09
189,1999,Homicide,North Carolina,651,7.97,7.97
191,1999,Homicide,Ohio,450,4.0,4.0
192,1999,Homicide,Oklahoma,231,6.65,6.65
193,1999,Homicide,Oregon,107,3.12,3.12
194,1999,Homicide,Pennsylvania,639,5.4,5.4
195,1999,Homicide,Rhode Island,36,3.48,3.48
196,1999,Homicide,South Carolina,313,7.77,7.77
197,1999,Homicide,South Dakota,23,3.21,3.21
198,1999,Homicide,Tennessee,423,7.37,7.37
199,1999,Homicide,Texas,1319,6.25,6.25
201,1999,Homicide,Utah,51,2.29,2.29
203,1999,Homicide,Virginia,419,5.89,5.89
204,1999,Homicide,Washington,190,3.23,3.23
205,1999,Homicide,West Virginia,99,5.49,5.49
206,1999,Homicide,Wisconsin,202,3.79,3.79
210,1999,Stroke,Arizona,2600,54.41,54.41
212,1999,Stroke,California,17962,64.51,64.51
213,1999,Stroke,Colorado,1834,57.21,57.21
214,1999,Stroke,Connecticut,1933,49.95,49.95
215,1999,Stroke,Delaware,365,49.37,49.37
216,1999,Stroke,District of Columbia,297,53.31,53.31
217,1999,Stroke,Florida,10560,50.52,50.52
219,1999,Stroke,Hawaii,762,64.15,64.15
220,1999,Stroke,Idaho,771,67.54,67.54
221,1999,Stroke,Illinois,7714,64.38,64.38
222,1999,Stroke,Indiana,4057,69.0,69.0
223,1999,Stroke,Iowa,2317,62.07,62.07
224,1999,Stroke,Kansas,1841,61.6,61.6
225,1999,Stroke,Kentucky,2710,70.36,70.36
226,1999,Stroke,Louisiana,2684,68.25,68.25
227,1999,Stroke,Maine,879,61.16,61.16
228,1999,Stroke,Maryland,2892,63.29,63.29
229,1999,Stroke,Massachusetts,3548,50.35,50.35
230,1999,Stroke,Michigan,6041,64.28,64.28
231,1999,Stroke,Minnesota,2997,59.62,59.62
232,1999,Stroke,Mississippi,1854,69.22,69.22
233,1999,Stroke,Missouri,3950,65.61,65.61
234,1999,Stroke,Montana,595,62.2,62.2
235,1999,Stroke,Nebraska,1176,60.16,60.16
236,1999,Stroke,Nevada,882,59.38,59.38
237,1999,Stroke,New Hampshire,669,57.85,57.85
238,1999,Stroke,New Jersey,4122,47.47,47.47
239,1999,Stroke,New Mexico,817,52.45,52.45
