Año,Decil,Ingreso corriente total per cápita,Total ingreso corriente monetario,Remuneraciones por trabajo subordinado,Ingreso por trabajo independiente,Ingreso por renta de la propiedad,Otros ingresos provenientes del trabajo,Transferencias,Total ingreso corriente no monetario,Pago en especie,Transferencias en especie
2008,I,490.358,463.701,155.951,99.582,2.889,33.634,171.644,26.657,4.059,22.599
2010,I,448.118,425.259,132.702,77.197,2.723,36.950,175.687,22.860,2.175,20.684
2012,I,492.355,463.872,135.885,98.986,3.021,47.212,178.767,28.483,5.742,22.742
2014,I,537.247,506.846,160.820,99.073,4.823,43.474,198.656,30.401,6.400,24.001
2016,I,640.852,603.494,241.848,120.687,7.011,35.801,198.147,37.359,2.683,34.676
2018,I,671.904,632.499,259.062,137.922,6.457,35.145,193.914,39.405,3.946,35.459
2008,II,1061.113,1005.054,531.583,168.400,6.193,69.050,229.829,56.060,14.217,41.842
2010,II,1004.346,956.486,518.780,141.791,10.251,64.889,220.775,47.860,10.634,37.226
2012,II,1053.424,1002.383,521.198,159.753,11.005,75.399,235.029,51.041,18.504,32.537
2014,II,1080.650,1016.788,519.367,154.928,8.932,77.871,255.690,63.862,23.284,40.578
2016,II,1206.148,1135.619,650.183,174.564,17.507,62.317,231.047,70.529,9.807,60.722
2018,II,1260.923,1189.134,678.608,198.111,15.715,61.322,235.379,71.789,11.318,60.471
2008,III,1509.847,1428.328,909.795,199.269,12.461,76.529,230.275,81.519,21.832,59.687
2010,III,1421.260,1355.634,821.691,194.261,15.868,72.651,251.163,65.626,20.660,44.966
2012,III,1481.159,1399.582,835.317,196.220,16.570,92.715,258.760,81.577,35.016,46.561
2014,III,1482.475,1398.179,849.797,172.829,18.448,88.966,268.138,84.297,35.324,48.972
2016,III,1624.074,1530.287,987.965,190.265,26.637,78.075,247.344,93.788,17.075,76.713
2018,III,1695.672,1597.700,1055.698,202.497,25.189,65.760,248.556,97.972,18.194,79.779
2008,IV,1933.527,1822.024,1242.645,228.373,17.880,87.412,245.715,111.503,35.459,76.044
2010,IV,1836.360,1749.037,1182.002,211.321,22.138,87.367,246.209,87.322,26.097,61.225
2012,IV,1902.826,1799.545,1173.720,228.324,19.650,99.723,278.129,103.281,51.634,51.647
2014,IV,1883.086,1775.693,1183.320,196.048,18.232,98.028,280.065,107.392,48.330,59.062
2016,IV,2031.054,1909.955,1269.884,222.308,31.710,91.184,294.869,121.099,25.935,95.164
2018,IV,2104.205,1981.623,1345.864,242.652,32.980,84.593,275.534,122.582,32.588,89.994
2008,V,2419.479,2282.190,1575.805,312.347,24.759,99.060,270.218,137.288,44.109,93.180
2010,V,2287.041,2163.547,1480.269,262.086,36.776,101.103,283.313,123.494,43.196,80.298
2012,V,2363.234,2215.830,1467.646,278.221,38.159,122.078,309.726,147.404,74.346,73.058
2014,V,2322.034,2175.417,1521.525,227.600,27.548,89.969,308.774,146.618,77.055,69.563
2016,V,2462.506,2315.132,1605.623,255.506,49.369,86.398,318.235,147.374,36.286,111.088
2018,V,2547.620,2395.807,1673.544,285.724,48.413,88.976,299.150,151.813,42.984,108.829
2008,VI,2978.245,2804.450,1980.530,331.601,39.572,116.631,336.116,173.795,59.953,113.842
2010,VI,2841.552,2673.795,1881.125,303.854,44.038,115.123,329.655,167.757,65.100,102.658
2012,VI,2899.540,2715.939,1878.721,343.195,41.907,127.070,325.046,183.601,109.315,74.286
2014,VI,2840.772,2653.337,1912.197,265.324,32.723,99.105,343.988,187.435,105.870,81.565
2016,VI,2970.926,2788.160,1956.636,302.019,63.139,105.941,360.425,182.766,49.642,133.124
2018,VI,3061.250,2886.603,2081.934,285.439,58.811,112.864,347.556,174.647,53.315,121.331
2008,VII,3696.851,3472.654,2516.900,416.907,60.965,140.171,337.710,224.197,85.401,138.797
2010,VII,3470.268,3265.806,2357.291,374.611,60.952,128.772,344.181,204.462,89.884,114.578
2012,VII,3591.747,3349.571,2362.891,352.360,60.196,150.751,423.373,242.176,141.555,100.620
2014,VII,3518.878,3250.475,2367.812,323.218,49.873,112.167,397.406,268.403,161.634,106.769
2016,VII,3638.736,3414.758,2443.038,330.337,88.608,128.866,423.909,223.978,73.980,149.998
2018,VII,3713.606,3497.181,2499.412,350.407,95.209,126.723,425.430,216.425,75.457,140.968
2008,VIII,4749.700,4462.852,3244.313,512.878,125.995,145.686,433.979,286.848,120.177,166.670
2010,VIII,4454.680,4181.870,2983.005,487.390,92.963,152.504,466.007,272.811,128.332,144.478
2012,VIII,4615.300,4280.684,3026.294,454.026,115.772,150.699,533.893,334.615,210.090,124.526
2014,VIII,4529.708,4185.290,3061.217,372.462,87.774,147.818,516.018,344.419,218.672,125.747
2016,VIII,4621.781,4334.270,3054.146,410.782,152.111,144.649,572.582,287.511,97.487,190.024
2018,VIII,4673.600,4389.256,3121.422,445.687,168.389,145.960,507.798,284.344,106.326,178.018
2008,IX,6642.784,6221.483,4432.479,682.634,284.182,172.600,649.589,421.300,188.112,233.189
2010,IX,6345.307,5942.942,4300.819,586.275,202.279,173.072,680.498,402.365,223.849,178.516
2012,IX,6477.920,5983.882,4283.862,570.333,200.773,178.668,750.246,494.038,333.273,160.766
2014,IX,6435.625,5922.782,4286.471,542.228,161.127,176.223,756.732,512.844,351.796,161.048
2016,IX,6429.932,6061.624,4311.762,522.180,270.098,154.911,802.673,368.308,128.036,240.272
2018,IX,6418.428,6070.246,4245.215,549.233,298.476,175.157,802.165,348.182,146.726,201.456
2008,X,16561.621,15404.735,9046.468,1566.159,2979.701,303.138,1509.270,1156.885,461.866,695.019
2010,X,15947.105,14760.275,9883.445,1196.361,1512.252,285.716,1882.501,1186.829,525.679,661.150
2012,X,15661.695,14528.554,9530.966,1674.718,1114.486,283.138,1925.246,1133.142,626.184,506.958
2014,X,16167.606,15104.813,10090.900,958.228,1788.379,382.377,1884.929,1062.792,626.244,436.549
2016,X,17158.648,16393.291,9281.953,1006.845,3597.423,299.457,2207.613,765.356,275.231,490.125
2018,X,15355.839,14599.563,9098.437,1015.060,2095.004,282.167,2108.895,756.276,298.767,457.509
,,,,,,,,,,,
