Entidad_federativa,Año,"Población_miles
",Rezago_educativo,Carencia_por_acceso_a_los_servicios_de_salud,Carencia_por_acceso_a_la_seguridad_social,Carencia_por_calidad_y_espacios_de_la_vivienda,Carencia_por_acceso_a_los_servicios_básicos_en_la_vivienda,Carencia_por_acceso_a_la_alimentación,Población_con_ingreso_inferior_a_la_línea_de_pobreza_extrema_por_ingresos,Población_con_ingreso_inferior_a_la_línea_de_pobreza_por_ingresos
Aguascalientes,2018,1342.59,13.07,11.40,42.32,4.58,2.49,12.99,8.85,36.46
Baja_California,2018,3648.12,14.02,16.86,45.25,9.47,8.94,14.15,5.79,30.01
Baja_California_Sur,2018,839.68,12.14,10.75,41.06,14.17,13.25,17.84,4.64,22.74
Campeche,2018,952.28,17.25,11.70,61.55,16.53,38.99,27.44,18.50,50.84
Coahuila,2018,3073.51,11.67,13.20,30.36,4.44,3.88,18.27,6.47,33.74
Colima,2018,763.30,16.64,10.84,48.89,9.39,10.53,21.62,9.71,36.28
Chiapas,2018,5463.34,29.19,17.59,83.60,23.59,57.11,22.34,50.70,78.92
Chihuahua,2018,3826.88,15.13,11.31,42.10,6.98,5.02,17.70,9.74,36.52
Ciudad_de_México,2018,8781.32,8.12,20.06,48.35,5.08,2.92,13.87,7.83,38.31
Durango,2018,1820.74,13.56,13.06,48.10,4.78,5.66,18.77,14.39,47.61
Guanajuato,2018,5964.97,19.02,13.66,57.06,9.09,11.95,20.69,15.93,50.85
Guerrero,2018,3629.03,23.69,13.78,75.58,28.83,58.63,35.56,38.64,69.51
Hidalgo,2018,2990.30,17.50,14.43,70.81,9.76,25.63,22.73,14.68,47.64
Jalisco,2018,8222.69,17.01,19.35,49.79,7.08,8.12,15.11,8.34,36.09
México,2018,17666.78,12.86,19.75,59.22,9.65,10.33,19.84,13.83,51.44
Michoacán,2018,4695.28,24.16,21.19,69.48,12.69,17.67,21.06,15.56,50.91
Morelos,2018,1994.13,16.90,16.81,66.50,11.29,19.93,24.59,19.63,56.55
Nayarit,2018,1296.95,17.02,13.65,56.08,11.87,17.23,18.90,13.46,39.67
Nuevo_León,2018,5321.30,10.11,12.96,34.57,3.06,2.39,12.19,3.08,21.11
Oaxaca,2018,4091.38,27.06,16.26,76.18,25.11,58.28,27.92,37.45,68.99
Puebla,2018,6388.09,19.44,20.80,72.07,11.66,26.49,20.84,22.30,65.04
Querétaro,2018,2100.01,14.78,11.83,52.66,8.48,12.67,13.87,7.67,33.92
Quintana_Roo,2018,1722.57,15.04,15.64,51.74,20.99,21.78,17.92,6.95,31.66
San_Luis_Potosí,2018,2831.86,16.93,8.96,55.52,8.57,26.41,16.95,19.03,50.77
Sinaloa,2018,3066.44,16.52,13.16,45.40,8.50,14.92,24.52,7.50,37.35
Sonora,2018,3061.96,11.43,12.63,40.99,8.63,10.72,21.53,8.36,36.91
Tabasco,2018,2460.88,16.45,12.65,69.05,12.28,46.01,46.77,20.82,56.17
Tamaulipas,2018,3672.33,14.39,11.98,43.36,7.70,8.89,16.73,15.13,48.29
Tlaxcala,2018,1334.80,13.12,13.74,67.78,8.71,10.13,20.24,14.91,56.01
Veracruz,2018,8236.73,24.96,16.75,67.52,16.87,42.08,26.98,32.21,67.93
Yucatán,2018,2207.16,19.70,14.06,55.34,13.58,38.44,19.40,12.51,46.27
Zacatecas,2018,1615.04,17.75,11.68,62.64,5.42,10.45,16.64,17.16,54.49
Aguascalientes,2016,1309.93,13.95,12.14,40.41,5.46,2.29,17.19,9.56,38.84
Baja_California,2016,3549.32,13.30,17.29,42.98,7.77,6.28,14.95,5.36,28.96
Baja_California_Sur,2016,793.83,13.38,12.46,39.96,13.13,12.82,19.20,6.11,28.58
Campeche,2016,925.42,17.19,10.74,58.98,16.88,29.19,25.59,15.77,48.56
Coahuila,2016,3005.81,12.33,12.80,30.57,5.18,5.49,16.12,8.81,37.85
Colima,2016,739.45,16.26,11.87,47.73,11.38,8.62,21.14,8.00,40.58
Chiapas,2016,5337.15,29.01,15.04,81.10,24.53,52.30,19.43,49.88,79.81
Chihuahua,2016,3757.01,15.75,12.24,40.54,7.12,5.35,18.19,11.17,41.73
Ciudad_de_México,2016,8821.85,8.44,19.63,47.04,5.91,2.09,11.50,7.54,34.39
Durango,2016,1787.49,14.43,14.09,49.04,7.02,8.09,18.59,12.80,45.38
Guanajuato,2016,5877.53,20.11,13.45,54.50,7.74,13.48,19.77,15.59,50.56
Guerrero,2016,3593.87,25.17,13.32,73.95,31.66,50.22,27.83,35.19,67.62
