Entity,Code,Year,Construction,Foodstuffs,Leather,Wool/Textiles,Coal,Iron,Tin,Metals and Mining,Printed books
England,,1270,15.87,10.01,48.33,32.62,,,,,
England,,1271,15.89,9.92,47.69,30.93,,,,,
England,,1272,15.91,10.73,46.96,29.84,,,,,
England,,1273,15.93,9.56,46.92,30.61,,,,,
England,,1274,15.95,9.44,46.49,31.36,,,,,
England,,1275,15.98,12.01,46.51,31.94,,,,,
England,,1276,16,9.75,45.76,29.25,,,,,
England,,1277,16.02,11.15,46.86,27.56,,,,,
England,,1278,16.04,12.18,46.29,23.75,,,,,
England,,1279,16.07,8.94,46.86,20.77,,,,,
England,,1280,16.71,9.39,47.48,18.61,,,,,
England,,1281,16.81,10.69,47.77,16.48,,,,,
England,,1282,16.9,10.27,48.2,15.68,,,,,
England,,1283,16.99,9.33,48.56,16.31,,,,,
England,,1284,17.09,10.21,48.01,13.23,,,,,
England,,1285,17.19,10.66,47.74,11.2,,,,,
England,,1286,17.28,10.3,46.28,12.8,,,,,
England,,1287,17.38,12.08,44.85,12.59,,,,,
England,,1288,17.48,11.62,44.05,11.09,,,,,
England,,1289,17.58,10.26,43.98,9.66,,,,,
England,,1290,17.57,10.41,45.38,10.32,,,,,
England,,1291,17.56,10.25,46.95,12.03,,,,,
England,,1292,17.56,10.89,47.77,15.42,,,,,
England,,1293,17.55,11.03,49.83,18.75,,,,,
England,,1294,17.55,10.75,50.37,20.56,,,,,
England,,1295,17.54,11.79,51.17,23.76,,,,,
England,,1296,17.54,12.45,51.63,25.42,,,,,
England,,1297,17.53,11.58,51.87,23.59,,,,,
England,,1298,17.53,13.04,51.63,19.09,,,,,
England,,1299,17.53,11.99,52.71,21.8,,,,,
England,,1300,17.08,11.77,53.65,22.16,,,,,
England,,1301,17.07,12.29,54.06,17.81,,,19.54,12.45629282,
England,,1302,17.07,12.12,54.15,24.93,,,23.1,14.72716019,
England,,1303,17.07,12.6,54.22,27.14,,,27.31,17.41202222,
England,,1304,17.06,10.89,54.91,20.8,,,24.23,15.44758894,
England,,1305,17.06,11.74,55.86,14.89,,,26.61,16.96556011,
England,,1306,17.05,11.33,55.17,12.63,,,26.96,17.18879117,
England,,1307,17.05,12.18,54.92,16.28,,,26.49,16.8858417,
England,,1308,17.04,12.21,55.07,20.25,,,26.02,16.58823166,
England,,1309,17.04,12.64,55.03,22.87,,,25.56,16.29586695,
England,,1310,17.59,12.11,54.2,25.12,,,25.62,16.33479269,
England,,1311,17.58,12.75,53.46,26.58,,,25.68,16.37381141,
England,,1312,17.58,12.26,52.74,24.82,,,25.74,16.41292334,
England,,1313,17.57,12.68,52.02,24.74,,,25.81,16.45212869,
England,,1314,17.57,12.25,51.08,33.38,,,25.81,16.45212869,
England,,1315,17.56,9.85,50.21,36.06,,,25.14,16.02798968,
England,,1316,17.37,8.96,49.14,34.44,,,23.11,14.73324957,
England,,1317,17.18,9.81,48.44,36.92,,,16.67,10.62579818,
England,,1318,16.99,11.88,48.17,33.97,,,18.21,11.6082843,
England,,1319,16.8,11.83,47.84,35.83,,,19.77,12.60249247,
