Año,Variable,Clave Entidad,Entidad,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Anual
1985,Temperatura promedio,01,Aguascalientes,11.967093779413,14.3258500933029,17.0518920595533,17.7579245283019,21.1832289113671,19.5558176100629,18.1222108886906,18.6626597687158,18.8760576923077,17.8129962779156,14.9647756410256,13.291935483871,16.9643702278773
1994,Temperatura promedio,01,Aguascalientes,13.1363500597372,15.2916666666667,17.1238649940263,18.5615740740741,21.5808243727599,20.3279320987654,20.067054958184,19.1605436081243,18.3853395061728,18.119623655914,16.3626543209877,14.8420572124163,17.7466237939857
1995,Temperatura promedio,01,Aguascalientes,13.026284348865,15.4012896825397,17.2334229390681,19.2898333333333,21.8745109120946,21.5476945786366,19.4765101362423,19.2135603345281,18.5418181818182,16.8803519061584,15.6392283950617,13.2521114369501,17.6147180154413
1996,Temperatura promedio,01,Aguascalientes,12.9792452830189,14.9061302681992,15.818928788801,18.134696969697,21.8178885630499,21.004303030303,20.4504398826979,19.7785923753666,19.1506666666667,17.8551319648094,15.0001515151515,14.2673237753883,17.5969582569291
1997,Temperatura promedio,01,Aguascalientes,13.0976539589443,14.4662337662338,16.2951612903226,16.6318181818182,19.1895231112973,21.515303030303,20.4171554252199,20.3360215053763,19.6393939393939,17.0741935483871,15.5768518518519,11.5760254530416,17.1512779218492
1998,Temperatura promedio,01,Aguascalientes,11.9562847997115,12.6079633373265,16.2283751493429,19.1239858906526,22.0949493795925,22.5306136363636,20.725108560794,19.8041762672811,19.4370833333333,17.7667050691244,15.9801515151515,13.3422287390029,17.6331354731397
1999,Temperatura promedio,01,Aguascalientes,11.7804147465438,15.015943877551,17.2785138248848,20.1986607142857,21.490581797235,22.0614583333333,20.6415610599078,20.1669066820277,19.4187878787879,17.4048387096774,13.9642857142857,11.5439882697947,17.5804951340262
2000,Temperatura promedio,01,Aguascalientes,12.642569124424,14.4819749216301,16.9523460410557,19.625303030303,21.2407624633431,20.7822727272727,20.3246796348812,19.9495967741935,19.7729166666667,18.168202764977,15.689696969697,12.9410740469208,17.7142829304471
2001,Temperatura promedio,01,Aguascalientes,13.0032128372005,15.2265037593985,16.0113263581689,20.5460451977401,20.9172691879866,21.074011299435,20.819952532432,20.3221705850191,19.0443502824859,17.0757786429366,14.3437134502924,13.4902188522674,17.6562127487803
2002,Temperatura promedio,01,Aguascalientes,12.76585565883,14.132075598601,17.4435483870968,20.4383045977011,21.97508640553,21.3935534591195,19.739247311828,19.728756884343,19.3880208333333,19.9,18,14.2,18.2587040946986
2003,Temperatura promedio,01,Aguascalientes,12.7431656642974,15.1056295399516,16.5705850191361,19.9270903954802,22.2764687194526,21.6094061147186,20.201136302921,19.4072450448794,19.2942463768116,17.1865533756734,15.9476111111111,11.751068583054,17.6683505206239
1986,Temperatura promedio,01,Aguascalientes,12.3867640424092,14.0444540998217,14.6790909090909,19.5861728395062,20.8359018687341,19.6640909090909,18.6698028673835,19.5393791844187,19.1813333333333,16.8139064432287,15.7019135802469,13.0276932440657,17.0108752767775
2004,Temperatura promedio,01,Aguascalientes,12.1693394728158,12.8594310344828,16.8672303366398,17.971877394636,20.4738876529477,19.7158365927857,19.1916803353381,19.1584560625555,18.5062407372321,17.9458221381812,14.7053054984551,12.121356020698,16.807205273064
2005,Temperatura promedio,01,Aguascalientes,12.6996961273012,14.3488991876242,14.9936551832218,19.3842148008279,20.4195295941023,22.2225423728814,20.4444700460829,19.2108073628577,18.5122376916868,17.6051394204483,14.850284658844,13.0921268341443,17.3153002733352
2006,Temperatura promedio,01,Aguascalientes,13.1289215891263,16.0025639097744,17.7070760342334,21.079465214761,21.3953009308255,21.6721900296719,20.901675155631,19.9168165986882,19.3540360458868,18.1033445030233,14.6055096706454,12.5129168595977,18.0316513784887
2007,Temperatura promedio,01,Aguascalientes,13.3202414446254,13.6541878256198,17.2006562745412,18.6491892590017,21.169937735308,21.5567741021834,20.0285570143362,19.9619551564843,19.6049765369218,18.4634255881276,14.9091409842905,14.1653958855327,17.7237031505811
2008,Temperatura promedio,01,Aguascalientes,13.0681337366375,15.0094141317478,15.526902872287,19.6170763576998,21.2963420768444,22.520589975409,19.1304085675721,19.976750064567,19.0569067905009,17.1929507166614,13.984624683731,12.8649004781165,17.4370833709812
2009,Temperatura promedio,01,Aguascalientes,13.7103591783043,15.0675183953473,17.2851192167052,19.1,21.7040167526416,22.435956102864,20.2779638897661,21.526973849201,20.3967321537879,19.0658478617769,14.8124628269014,13.2269433726603,18.2174911333297
2010,Temperatura promedio,01,Aguascalientes,11.3873196038025,12.2239413359139,15.2892581195467,18.3468705550765,21.4342390777312,22.3835724687427,19.8837061427637,20.57039009113,20.8200164628945,17.5127915499072,14.9700725458449,12.7494291873285,17.2976339283902
2011,Temperatura promedio,01,Aguascalientes,12.7531975659903,15.1704598351624,17.8840810672701,20.4993467457761,22.446428000983,21.9647416972531,21.2831226309758,20.8279339207898,19.3546581313875,17.3046531196018,15.2262342867148,14.0782759818961,18.2327610819834
2012,Temperatura promedio,01,Aguascalientes,12.9,14,17.7,18.5,21.5,21.6,19.7,20,19,18.6,15.8,14.35,17.8041666666667
2013,Temperatura promedio,01,Aguascalientes,13.3878689583333,15.6406719996824,15.8,19.4,21.5,22.8,20.4,20.7,20.1,18.6,16.1,13.4,18.152378413168
1987,Temperatura promedio,01,Aguascalientes,11.7145523159636,13.0003571428571,14.870146627566,17.7069696969697,19.2094892473118,20.6917878787879,19.4784457478006,20.2339882697947,19.9519696969697,16.7379032258065,14.8978787878788,14.2796187683284,16.8977589505029
2014,Temperatura promedio,01,Aguascalientes,12.4,15.4,17.5,20.2,20.8,21.9,20.1,19.9,19.5,19.3,14.4,13.7,17.925
2015,Temperatura promedio,01,Aguascalientes,13.9,14.5,15.3,20,20.4,20.7,19.5,19.7,19.6,18.1,17.1,13.6,17.7
2016,Temperatura promedio,01,Aguascalientes,12.1,15,17,19.8,23.3,21.9,21,20.6,20.2,19.8,15.9,15.1,18.475
2017,Temperatura promedio,01,Aguascalientes,13.8,14.7,17.9,18.8,21.8,23.5,20.3,21.3,20,17.8,16.3,13.5,18.3083333333333
1988,Temperatura promedio,01,Aguascalientes,12.1027073732719,15.1914173595021,15.8485722819594,18.569537037037,21.0833331778578,20.5767676851442,19.2779569892473,18.9756203473945,18.3489217891054,17.2347489273796,15.8905064508562,13.7231838057612,17.2352727687097
1989,Temperatura promedio,01,Aguascalientes,14.108180822857,14.5312843406593,15.3604111719754,18.1944968553459,20.7547693509901,21.406497505964,20.0174317617866,19.0348197343454,17.7991970121382,16.8719233723266,15.5291131395087,11.780906341311,17.115752617434
1990,Temperatura promedio,01,Aguascalientes,13.0863968350578,13.1279651675485,16.4231138485171,18.7716648421821,21.5124187297724,21.0230769230769,18.78,18.3677419354839,17.9291333333333,16.8877602736711,14.8293402777778,13.1135615536537,16.9876811433396
1991,Temperatura promedio,01,Aguascalientes,12.5332950113839,14.1775599400599,16.9477061433893,19.3666666666667,21.1135888729267,20.888141025641,18.0080585512502,18.9908843396747,17.6259615384615,16.1983250620347,14.2746794871795,13.2096442628562,16.944542575127
1992,Temperatura promedio,01,Aguascalientes,11.4402915632754,12.3649933025762,15.7104838709677,16.7177774093722,18.8820750090136,20.6483974358974,19.6081233515926,18.7222763237979,18.5532389937107,16.3947048082775,13.9604369984819,14.1462264150943,16.4290854568381
1993,Temperatura promedio,01,Aguascalientes,13.1069689592209,14.1506875811121,15.2975961538462,17.8063522012579,19.5213024954352,21.0680817610063,19.5789713937918,19.5421485088253,18.6516339869281,17.8437697659709,15.8785256410256,14.0338393421885,17.2066564825507
2018,Temperatura promedio,01,Aguascalientes,13,16.7,18.8,19.9,21.9,21.3,20.5,20.4,,,,,
1985,Temperatura promedio,02,Baja California,11.052290308524,12.0203713112602,13.3270134818787,17.7847925427816,19.0147800421928,22.8298857698694,26.0294437328722,25.7552896101739,21.7761018572851,19.454984422945,14.2269035196174,12.8963527656754,18.0140174470896
1994,Temperatura promedio,02,Baja California,13.8346071247542,13.616179979752,15.7391374805951,17.3108585928851,18.776695943093,23.0103412144927,24.8321307017053,26.5036766484001,24.8731858515751,19.8920587260725,14.2173138938018,12.4842447642268,18.7575359101128
1995,Temperatura promedio,02,Baja California,12.7120102441146,15.7654877074255,16.1140903727593,16.7419597457108,18.0807116268717,21.4187106532957,25.3927831792981,26.7860491105843,25.2096404966436,20.7334305697398,17.9759012882961,13.8985638580389,19.2357782377315
1996,Temperatura promedio,02,Baja California,13.7718418770169,15.1549904517284,16.1198430855482,18.6348111548852,21.1093321404449,23.5772112015721,26.1858075388831,26.6619161345179,23.6655031719317,19.3993031165597,16.0834194198547,13.873684248485,19.519805295119
1997,Temperatura promedio,02,Baja California,13.3601055175714,13.4285776596998,16.8645472347364,16.8384810594253,21.8906362793139,21.8217940741601,24.5033667677234,26.8367694676661,25.744995272377,20.588433318574,16.7885172443069,12.5875642863091,19.2711490151553
1998,Temperatura promedio,02,Baja California,13.119243138122,12.4869115122666,14.5710724112779,15.4569715891226,17.7494941258515,20.9668331629137,25.3361892214659,26.9508545524967,23.501376829462,19.0497327338943,15.2835299587487,11.9033556393575,18.0312970729149
1999,Temperatura promedio,02,Baja California,13.1326443419775,13.2968044156068,13.291608460291,14.9527723155313,17.9439163757608,20.8125774520889,24.3240565159694,24.5984912559127,23.0068206380517,21.750689554133,17.2611851728568,13.4317377630374,18.1502753551014
2000,Temperatura promedio,02,Baja California,14.015186062916,14.1035794950961,14.5292790939642,18.3600351533635,20.5731017310601,23.3278737122119,24.3815039681527,25.870009360757,24.0455949557117,18.582877020011,13.5646136008375,14.3671929572947,18.8100705926147
2001,Temperatura promedio,02,Baja California,11.9495235585153,12.5061996665963,15.1324760968482,15.9953776701314,20.8718957761131,23.8129815850926,24.9590372896391,25.6030301634978,23.7458766334067,20.3201905210855,16.7225709890001,12.6134504028637,18.6860508627325
2002,Temperatura promedio,02,Baja California,12.4247945174723,14.2321549103071,14.852988309313,17.2553238907222,19.1127142455672,22.8203806943036,24.9498283294341,25.1742022221546,25.2327972848257,19.1586237527391,17.5444288526579,13.1753237946679,18.8277967336804
2003,Temperatura promedio,02,Baja California,14.0114986641577,12.1653953556731,14.809582111437,14.0804597701149,17.8207835202035,20.661724137931,25.0915635428254,26.1139791125942,24.5973613391717,19.6082661290323,14.8117496807152,11.7898690343768,17.9635193665194
1986,Temperatura promedio,02,Baja California,14.6312204901208,14.0575429963261,16.0901545186502,17.6422462282537,19.2746866365158,22.9988346276438,24.6705670877628,26.3737752342654,21.2496254201936,18.5569177548652,16.2048654032964,12.7233082910056,18.7061453907416
2004,Temperatura promedio,02,Baja California,12.542569659,12.6381818195,18.790030215,18.505311355,21.993939395,23.349609375,27.31230469,26.680163935,25.72284345,19.51579755,14.084113712,12.9360687022901,19.5059111548158
2005,Temperatura promedio,02,Baja California,13.7604757860093,13.4728988147515,15.5543070163474,17.2559145976094,21.257205763545,22.9997824859215,27.5320542537179,27.0335384547865,24.6866490149586,20.6937721462355,17.961890408897,14.0583823504926,19.6889059244394
2006,Temperatura promedio,02,Baja California,13.84736840885,14.8749263449341,13.5191685734156,16.8281298334736,21.3218929012318,26.1041205982719,27.31233,27.0013658928263,25.432879812429,20.3936714056673,17.7298744754413,14.2764485910914,19.8868480698027
2007,Temperatura promedio,02,Baja California,11.5180511772524,13.8472352037401,17.1794655563798,17.2289370608317,20.2724389098164,23.6811218790975,26.8634121632873,28.0532617001096,24.6367843265161,21.223065458815,18.298848450185,13.0446274714809,19.6539374464593
2008,Temperatura promedio,02,Baja California,11.6351969376913,13.2630312993616,15.5621058454499,18.1789857510322,19.446999266569,23.8462805507891,25.5430617819468,26.793806519949,25.7942218719024,22.388053229411,18.3316618654434,13.5474143335118,19.5275682710881
2009,Temperatura promedio,02,Baja California,14.7740461423635,13.4552898597757,15.0552723937097,16.95,22.6951648400565,22.7250512345562,26.1203414798688,27.2403589506884,27.0917976217689,19.4100002278306,16.8739047415485,13.1780235974963,19.6307709241386
2010,Temperatura promedio,02,Baja California,13.9466510493914,13.8251784568703,14.7853819890039,15.9219390167847,18.7512509954707,23.437718531945,27.2169832182266,28.2532719799756,26.0642205168766,22.1480112729974,16.7246732643419,15.3586451117364,19.7028271169684
2011,Temperatura promedio,02,Baja California,14.1227432225255,11.10374907403,16.3457993926573,18.0907043734242,19.5841391618061,23.6816512637594,25.4568490766666,26.2990606750875,25.3411400219558,20.9653678716217,14.7810113732,10.4551650146744,18.8522817101174
2012,Temperatura promedio,02,Baja California,15.6,13.4,14.1,17.6,22,23.9,24.5,27.9,26.2,22.3,17.2,14,19.8916666666667
2013,Temperatura promedio,02,Baja California,12.9444542307692,13.7481852599322,18.6,19.2,23.5,25.5,26.5,26.9,26.7,22.2,18.1,14.2,20.6743866242251
1987,Temperatura promedio,02,Baja California,11.7075007629824,13.1862546537733,14.6309105214167,18.3661205074148,19.5411797333581,22.7392548425932,23.7476536851639,25.1232147789645,24.0904199569864,22.0809532633397,15.7537012046302,11.4198832943281,18.5322539337459
2014,Temperatura promedio,02,Baja California,17,17,19.2,20.9,24.1,25.2,27.5,27.7,29.6,24.5,19,15.8,22.2916666666667
2015,Temperatura promedio,02,Baja California,16,17.7,19.8,20.2,19.8,25.1,25.8,27.7,27,23.8,16.1,11.8,20.9
2016,Temperatura promedio,02,Baja California,13.8,18.8,17.7,19.3,20.2,27.3,29,28.8,25.9,24.4,19.8,14.6,21.6333333333333
