Geo Point;Geo Shape;clasif_15;vel_15;clasif_19;vel_19;Nombre;Inicia;Termina;Shape_Leng;Mixta
19.351710442, -99.0690930576;"{""type"": ""LineString"", ""coordinates"": [[-99.1432719801593, 19.35999950906666], [-99.14325438626132, 19.359995782365626], [-99.14236698745891, 19.359869966797685], [-99.14175287150209, 19.359820656619227], [-99.14110826688717, 19.35975901941385], [-99.14075983225445, 19.35972614654455], [-99.14062481404268, 19.35972203676024], [-99.1404636634044, 19.359701490995402], [-99.14031993399927, 19.35969327301631], [-99.14025895750385, 19.359689163731897], [-99.13998020986769, 19.359652181544444], [-99.1394161195262, 19.35958643946685], [-99.1392397866294, 19.359565888876194], [-99.13879988760141, 19.359504251332247], [-99.13828159075257, 19.35944672279415], [-99.13802897595004, 19.359405631096294], [-99.13772845160376, 19.3593727585734], [-99.13725370935435, 19.359302902511008], [-99.13685736501749, 19.359265920081274], [-99.13634777932079, 19.359216609763724], [-99.13605596522443, 19.359183736088323], [-99.13588610281866, 19.35916729932879], [-99.13569881951004, 19.359159081272512], [-99.13559428928158, 19.359159081412326], [-99.13553331309387, 19.35915497235084], [-99.13515439044012, 19.359109770978208], [-99.13455334059886, 19.359031697173343], [-99.13427894822773, 19.358998823136574], [-99.13392615842521, 19.358974167954464], [-99.13343399452403, 19.35890842128302], [-99.13309427033583, 19.358871438862597], [-99.1328068122404, 19.358850892722565], [-99.13213607558124, 19.358764599820226], [-99.13159164655993, 19.35870296280827], [-99.13115984159438, 19.35866068596653], [-99.13112997043494, 19.35865776131306], [-99.130933976139, 19.35863721501568], [-99.13039390240505, 19.35856735907837], [-99.13009242739231, 19.35853141458091], [-99.12960121367092, 19.358472847846063], [-99.12852977664603, 19.358378336701715], [-99.12732332207607, 19.35825506025303], [-99.12700537486917, 19.358218078343107], [-99.12673969357087, 19.358181094757207], [-99.12660903057551, 19.358181095268638], [-99.12618219858716, 19.35811534770044], [-99.12562034776678, 19.358061927935104], [-99.12505849687648, 19.357987962805705], [-99.12465344175293, 19.357930434206892], [-99.12450535678894, 19.35792632501901], [-99.1241961210436, 19.357885232914146], [-99.12369089061745, 19.357831812849817], [-99.12322485950995, 19.357778392879148], [-99.12287642514453, 19.35773319228249], [-99.12236248385707, 19.35769209949878], [-99.12206631440925, 19.35766333545005], [-99.12183813340965, 19.357660889112104], [-99.12168303591879, 19.357659226009712], [-99.12124313771177, 19.357745519416248], [-99.12058546658342, 19.357872905076132], [-99.12048529236154, 19.35787290540372], [-99.11944869916059, 19.35768388136294], [-99.11678317368381, 19.357137355693574], [-99.11519344088377, 19.356894910852542], [-99.11438768596975, 19.356845600470162], [-99.11317687563886, 19.356734651102787], [-99.11143905723327, 19.356599045874827], [-99.1113752421024, 19.356593315483767], [-99.10962510641902, 19.356436141931912], [-99.1094693665378, 19.356424553962647], [-99.10822474802359, 19.356331945855633], [-99.10714895609551, 19.356229214832265], [-99.10645644264335, 19.356159357541408], [-99.10564163692116, 19.35608802953148], [-99.10561148881646, 19.356085390946152], [-99.10465764841028, 19.355994987200624], [-99.10344683772234, 19.355892255790206], [-99.10312643668624, 19.355845637701336], [-99.10232464630558, 19.35582650784043], [-99.10146767553007, 19.355731930883934], [-99.10010177560112, 19.355601742183772], [-99.09901129441285, 19.355488810453547], [-99.09787331578795, 19.355478803035457], [-99.0973897226238, 19.355531284443096], [-99.09576030682615, 19.355730088442918], [-99.0936087457601, 19.356002865356476], [-99.0915529811181, 19.356283883082863], [-99.09013135927438, 19.356494260832278], [-99.08920441444788, 19.35658018590098], [-99.08857267081936, 19.356663117981974], [-99.08832941430843, 19.35669136479845], [-99.08789068874032, 19.356689915079766], [-99.08761719021368, 19.356666259709808], [-99.08725870926841, 19.356601811309922], [-99.08700124885267, 19.356559449099876], [-99.08662477971272, 19.35651955703701], [-99.08642747827662, 19.35639759082208], [-99.08524352856918, 19.355717770862864], [-99.08350124739772, 19.354915407941895], [-99.08123412962313, 19.35386638034838], [-99.07358598938649, 19.350398088906797], [-99.07012733719523, 19.348832327397695], [-99.06907772556704, 19.34841070819898], [-99.06662908872602, 19.34731349758502], [-99.06127513068152, 19.344756037813042], [-99.06104234249395, 19.344644835524534], [-99.05816775685204, 19.343346216575597], [-99.05614683614118, 19.342507861252205], [-99.05520606268826, 19.342162655449442], [-99.0544814218348, 19.342066367313507], [-99.05340118654173, 19.342035677196918], [-99.05139153929859, 19.342215024540163], [-99.04952657816011, 19.342392793094685], [-99.04772817537533, 19.342561706506693], [-99.04547691575584, 19.342774615560757], [-99.04394428609393, 19.342928584897077], [-99.04005552042665, 19.34329916644996], [-99.03416061056376, 19.343872240175], [-99.03189578470742, 19.3440694994315], [-99.03001423786006, 19.34423388122757], [-99.02724418301982, 19.344529768061925], [-99.02414311416047, 19.34484209316787], [-99.02203508491687, 19.34503935092063], [-99.02097235902059, 19.345335237033918], [-99.0201535377007, 19.345861254147135], [-99.01966572926072, 19.34638727099021], [-99.0194392467158, 19.346732467635448], [-99.01889917343168, 19.347866682200557], [-99.01811519538484, 19.34947758139884], [-99.01778418215623, 19.350151524952647], [-99.0172931375194, 19.350898593395552], [-99.01683704381375, 19.351372330115435], [-99.0162336483232, 19.351861026616323], [-99.0152960030876, 19.352322749513508], [-99.0150257768842, 19.352438684914308], [-99.01426499219296, 19.352765082578184], [-99.0114600936148, 19.353882817094455], [-99.00830676024628, 19.355181353493638], [-99.0076273120265, 19.35547722041778], [-99.00395132699396, 19.35692367604823], [-99.00168650196996, 19.357811266806138], [-98.99954675742121, 19.35864727800942], [-98.99826001535449, 19.35907245327607]]}";Eje Vial;50;Eje Vial;50;Eje 8 Sur Calzada Ermita Iztapalapa;Calzada de Tlalpan;Calzada Ignacio Zaragoza;20.34989991307;No
19.4065032037, -99.1063734226;"{""type"": ""LineString"", ""coordinates"": [[-99.13649603768198, 19.40341462935544], [-99.1350548454025, 19.403355976813653], [-99.1315238431786, 19.403126563191154], [-99.1309535144373, 19.40311074133943], [-99.13014834613466, 19.403189849015114], [-99.12888100041391, 19.40356217666318], [-99.12861349202117, 19.40364076537667], [-99.12730509235212, 19.404044215576754], [-99.12572849818618, 19.404329723161485], [-99.12228117203813, 19.404953953309995], [-99.12160837064862, 19.405085443353304], [-99.11948824146518, 19.405499793239745], [-99.11902694596927, 19.405563078486182], [-99.11854887740373, 19.405594721365617], [-99.1167707951099, 19.40557890049463], [-99.11515206966129, 19.40559472191719], [-99.11486690542479, 19.40563427505708], [-99.11436367494193, 19.405705471744163], [-99.113625602974, 19.405879506347823], [-99.11354542749352, 19.405898678420872], [-99.11303011349806, 19.406021899315334], [-99.11258559249386, 19.406108916782102], [-99.11082428523356, 19.406409522590014], [-99.1090629774823, 19.406789233571022], [-99.1064377907201, 19.40732715671257], [-99.10354013510637, 19.40793837040745], [-99.10182484282497, 19.40830015997065], [-99.09979514537397, 19.408711509448498], [-99.09763125302209, 19.409043752761605], [-99.09751888050974, 19.409051604134604], [-99.09672543796381, 19.409107036281085], [-99.09618027132599, 19.409114947686653], [-99.0956015556379, 19.4090753941809], [-99.09259055809159, 19.408664046614632], [-99.09034500260779, 19.408316414919213], [-99.08872406878565, 19.408110306039543], [-99.08074559802641, 19.406975389863696], [-99.0807341811772, 19.40697400771378], [-99.08031416966524, 19.406923174767464], [-99.07940490531261, 19.40691108571443], [-99.07894091014303, 19.406975330530262], [-99.07843408574087, 19.407068129665955], [-99.07815568839155, 19.407157359883353], [-99.0779379677424, 19.407303696431725], [-99.07776664662853, 19.407485725480274], [-99.0774846802608, 19.40786048989541], [-99.07697894384194, 19.40873877302925]]}";Via de acceso controlado;80;Via de acceso controlado;80;Viaducto Rio de la Piedad;Calzada de Tlalpan;Calzada Ignacio Zaragoza;6.43539269859;No
19.4213409304, -99.1201092791;"{""type"": ""LineString"", ""coordinates"": [[-99.09791434558947, 19.416929579944842], [-99.09804738042966, 19.416989573465166], [-99.09811723692891, 19.41700210115964], [-99.09818175989201, 19.41701077912402], [-99.09824752371561, 19.417007901347652], [-99.09838303349963, 19.41698735317939], [-99.09859371686754, 19.416941662218207], [-99.09880758841149, 19.41690895311699], [-99.099082213313, 19.416866951959094], [-99.09936606973632, 19.416848274131944], [-99.09954430540324, 19.41684827415098], [-99.09975554760312, 19.41686695216551], [-99.09991397857118, 19.4168794042985], [-99.10021763873519, 19.41693543706084], [-99.1017755483508, 19.417308987440958], [-99.10421143282623, 19.417956473664795], [-99.10747248043893, 19.418784505882414], [-99.10992156703918, 19.41939463234833], [-99.11187555522255, 19.419898917620547], [-99.11204900983661, 19.41994515014583], [-99.11460849728284, 19.42062732833026], [-99.11656248552782, 19.421137836645105], [-99.12000837008394, 19.42211526791556], [-99.12043745525668, 19.422233555361135], [-99.12046104804102, 19.422236296076417], [-99.12225941761214, 19.422445227655427], [-99.12602876595038, 19.422849894021397], [-99.12612519804433, 19.422864393318473], [-99.12785072794196, 19.42312382198772], [-99.1291511862542, 19.42331059014255], [-99.13066288680197, 19.423472455819617], [-99.1325772667836, 19.423746382719507], [-99.13335622171329, 19.423733931100607], [-99.13336318169824, 19.423734690540787], [-99.13429910404705, 19.42383686548688], [-99.13540922957091, 19.423958053009155], [-99.1367162892142, 19.424070113399203], [-99.13758766231658, 19.424119917476034], [-99.13967367669053, 19.424381392046673], [-99.14226799155884, 19.42467399412177], [-99.14255034692714, 19.424712673515867]]}";Eje Vial;50;Eje Vial;50;Eje 1 Sur Fray Servando Teres de Mier;Circuito Interior Jesus Galindo y Villa;Eje Central Lazaro Cardenas;11.25955462572;No
19.4960948813, -99.214227899;"{""type"": ""LineString"", ""coordinates"": [[-99.20478639616547, 19.51515096329827], [-99.20596065934149, 19.51436217142055], [-99.20654957642559, 19.513976698827886], [-99.20846623241421, 19.512973756173455], [-99.20884099763236, 19.51272034384487], [-99.20902302642952, 19.512516899339552], [-99.20933354544333, 19.512120719285814], [-99.21006522993993, 19.511103500005493], [-99.21019728999, 19.510750150117488], [-99.21034719620862, 19.51010769499425], [-99.21068022529393, 19.509366405214916], [-99.21114660035262, 19.508019630152347], [-99.21124385997308, 19.50746877273131], [-99.21155900507628, 19.50580875227557], [-99.2118463426231, 19.503842916926672], [-99.21188341813988, 19.503676911860776], [-99.2120039152913, 19.50316142146844], [-99.2123654048635, 19.501912006864192], [-99.21274543164654, 19.500583946478336], [-99.21372794179875, 19.497368596640666], [-99.21575784404855, 19.49136585763362], [-99.21718025699143, 19.487392177785235], [-99.21727795346558, 19.487119244272048], [-99.21893709804966, 19.48219967397331], [-99.22035524868168, 19.478206236309553], [-99.22055916573977, 19.477445986331546], [-99.22102713053525, 19.47559919407896], [-99.22104469554138, 19.475324551301977], [-99.22112502589705, 19.47501772559539]]}";Arteria principal;50;Arteria principal;50;Calzada de las Armas;Calzada de la Naranja;Herreros;4.89009907607;No
19.3543679679, -99.1899852361;"{""type"": ""LineString"", ""coordinates"": [[-99.18748558239203, 19.372340360513583], [-99.18788533132204, 19.372140485545245], [-99.1880209610741, 19.37202627149387], [-99.18812023350944, 19.371857138309426], [-99.18823548377414, 19.370727838750877], [-99.18839175742526, 19.36940099121555], [-99.18863484897629, 19.367533558684514], [-99.18873034903376, 19.366681739759855], [-99.18889530391354, 19.36563334188301], [-99.18897344056697, 19.36453579241001], [-99.18916458228429, 19.36302102375531], [-99.18919048622197, 19.362815737388672], [-99.18929466865794, 19.361513398873704], [-99.18945962388901, 19.359916176012696], [-99.18991976145966, 19.355853426346307], [-99.19022362593726, 19.353305964876387], [-99.19065771819642, 19.349439645581313], [-99.19065771747816, 19.349136561549578], [-99.1906143089373, 19.348694221930177], [-99.19060948306198, 19.34867243081007], [-99.19000657964344, 19.345950049999185], [-99.18996317088731, 19.34569610898238], [-99.18998053453171, 19.345466743006305], [-99.19040594424128, 19.34356626915958], [-99.19078794561571, 19.342231009332437], [-99.19182976681758, 19.339396616580018], [-99.1921154576532, 19.338698904454606], [-99.19212494921578, 19.338675723683515], [-99.19312336073939, 19.33745511207545], [-99.19320149790738, 19.33728307901552], [-99.19316006323486, 19.336628523146754]]}";Arteria principal;50;Arteria principal;50;Eje 4 Poniente Av. Revolucion;Molinos;Eje 10 Sur Av. San Jeronimo;4.08009069362;Si
19.5052761171, -99.0808669688;"{""type"": ""LineString"", ""coordinates"": [[-99.06405620329188, 19.49833335714602], [-99.065886023445, 19.499039933634066], [-99.0684213168754, 19.50004783965485], [-99.07321632736281, 19.50202206894473], [-99.07350292544731, 19.502125975292085], [-99.07393282296074, 19.502240272398684], [-99.07436272109217, 19.502344178430025], [-99.07536581487916, 19.50283253597471], [-99.07658936901106, 19.503445577461218], [-99.07809870832878, 19.504066329967838], [-99.08056867741819, 19.50509766378474], [-99.08387558069255, 19.50658348665703], [-99.08582902453212, 19.507390247611774], [-99.09046734214796, 19.50930572908098], [-99.09068367976441, 19.509407687531432], [-99.09097440143898, 19.509544702393097], [-99.09262785270653, 19.510188889901283], [-99.09360890122925, 19.51060449345834], [-99.0940718674901, 19.51079151438158], [-99.09464506452682, 19.511040875440916], [-99.09504189251419, 19.511207115845462], [-99.097511047894, 19.512588984170737]]}";Via de acceso controlado;80;Via de acceso controlado;80;Anillo Periferico Av. Rio de los Remedios;Pedro Galan;Limite Estado de Mexico;3.85264209312;No
19.2915243784, -99.1524014136;"{""type"": ""LineString"", ""coordinates"": [[-99.14178860046054, 19.308832125981933], [-99.14219310826482, 19.307490110174367], [-99.14399257982042, 19.30229339366033], [-99.14465712876746, 19.30039506457052], [-99.14643678718438, 19.29531112924764], [-99.14718181234949, 19.29353467472218], [-99.14771770776761, 19.292757470700412], [-99.14835816792623, 19.292152974776425], [-99.14929684137722, 19.29150465937021], [-99.14960107782886, 19.29131259213892], [-99.14970604437187, 19.29124432636603], [-99.15154323062667, 19.290073312549627], [-99.15488040876224, 19.28794612087388], [-99.15707919369363, 19.286528701874357], [-99.1604877063408, 19.28433134746318], [-99.16085368424733, 19.28402291607413], [-99.1612327318846, 19.283640459897192], [-99.16189933339507, 19.282826196314566], [-99.16574828681883, 19.276571116827746], [-99.16601634220333, 19.276126635469474]]}";Via de acceso controlado;80;Via de acceso controlado;80;Viaducto Tlalpan;Calzada de Tlalpan;Autopista Mexico-Cuernavaca;4.60571459996;No
19.5102339874, -99.201247209;"{""type"": ""LineString"", ""coordinates"": [[-99.19171319732285, 19.51059472897507], [-99.19196955739807, 19.510754215698725], [-99.19226472524852, 19.510868674194114], [-99.19288521988958, 19.51101147863062], [-99.1946569195196, 19.51140762595614], [-99.19536660817447, 19.511553955782524], [-99.19657324084199, 19.511725199345715], [-99.19733513789659, 19.511651668815936], [-99.19834794160927, 19.511533174229637], [-99.19974508872627, 19.51130344026856], [-99.20111064243481, 19.510822307543382], [-99.20343930580763, 19.509620308629987], [-99.20490303657245, 19.50888865220921], [-99.20544639120585, 19.50874232033654], [-99.20753109863044, 19.50852282306935], [-99.2081411835031, 19.5084611586593], [-99.20863998549382, 19.508543727643943], [-99.20905619505685, 19.508711675059942], [-99.20940337944708, 19.50887999421094], [-99.21068022529393, 19.509366405214916]]}";Eje Vial;50;Eje Vial;50;Eje 5 Norte Av. de las Culturas;Av. de las Civilizaciones;Av. Aquiles Serdan;3.51138125227;No
19.3870149104, -99.1477998903;"{""type"": ""LineString"", ""coordinates"": [[-99.14048196478993, 19.377399873237078], [-99.14074129258523, 19.377438281967738], [-99.14078691180582, 19.37743828192314], [-99.1408724482295, 19.377465179390548], [-99.14098079415416, 19.377631940173032], [-99.14175632285537, 19.378621744436845], [-99.14190458601436, 19.378777745367326], [-99.14213268233091, 19.379084368908604], [-99.14257176876103, 19.379746025893464], [-99.14349555962765, 19.381225332004327], [-99.14503137973612, 19.38364289880862], [-99.14537165557522, 19.38417852375993], [-99.1469341180132, 19.38655610099373], [-99.14713958794616, 19.38682344024902], [-99.14809170850734, 19.388062239961066], [-99.15019019848714, 19.390692571374732], [-99.15115390648357, 19.39184366414287], [-99.15129489437004, 19.392053123121894], [-99.15129790418005, 19.392057594069016], [-99.15161010044059, 19.392521406253962], [-99.15210050822034, 19.392887170813438], [-99.15525394513796, 19.395173180474064], [-99.15602199242511, 19.395902588974522]]}";Arteria principal;50;Arteria principal;50;Cumbres de Maltrata;Eje 1 Poniente Av. Cuauhtemoc;Calzada de Tlalpan;2.6524333159;No
19.4279532666, -99.1033136509;"{""type"": ""LineString"", ""coordinates"": [[-99.10754718517191, 19.43404051018437], [-99.10736096283125, 19.433780609820214], [-99.10692586642062, 19.433181781244013], [-99.10634965744259, 19.432172639324943], [-99.10572641112029, 19.4313631041515], [-99.1041976939062, 19.429244984193193], [-99.10351565078905, 19.428213638284046], [-99.10263369885082, 19.426882860279687], [-99.10195165577916, 19.426117658019685], [-99.10143424342097, 19.425407901483016], [-99.10114025988122, 19.425030842266537], [-99.10063460669217, 19.42428781155012], [-99.09995256402901, 19.42335624544558], [-99.0997526545058, 19.42293482058292], [-99.09961154258072, 19.422457944052795], [-99.09955453812998, 19.42168970252304]]}";Arteria principal;50;Arteria principal;50;Iztaccihuatl;Eje 1 Norte Norte 17;Calzada Ignacio Zaragoza;1.61870449436;No
